ROWID	GamemodeID|INTEGER	GameModeUIString|INTEGER	DefaultGameWinType|INTEGER	WinCondition_1|INTEGER	WinCondition_2|INTEGER	WinCondition_3|INTEGER	WinCondition_4|INTEGER	WinCondition_5|INTEGER	WinCondition_UIString|INTEGER	PlayTime_1|INTEGER	PlayTime_2|INTEGER	PlayTime_3|INTEGER	PlayTime_4|INTEGER	PlayTime_5|INTEGER	Respawn_Time|INTEGER	Respawn_Nodamage_Time|INTEGER	Respawn_HP_Percent|INTEGER	Respawn_MP_Percent|INTEGER	NumOfPlayers_Min|INTEGER	NumOfPlayers_Max|INTEGER	WinXP_PerRound|INTEGER	LoseXP_PerRound|INTEGER	HowtoWinString|INTEGER	KOItemDropTableID|INTEGER	StartRegulation|BOOLEAN	PlayerBalance|BOOLEAN	ReleaseShow|BOOLEAN	VictoryExp_1|INTEGER	VictoryExp_2|INTEGER	VictoryExp_3|INTEGER	VictoryExp_4|INTEGER	VictoryExp_5|INTEGER	VictoryBonusRate_1|INTEGER	VictoryBonusRate_2|INTEGER	VictoryBonusRate_3|INTEGER	VictoryBonusRate_4|INTEGER	VictoryBonusRate_5|INTEGER	DefeatExp_1|INTEGER	DefeatExp_2|INTEGER	DefeatExp_3|INTEGER	DefeatExp_4|INTEGER	DefeatExp_5|INTEGER	DefeatBonusRate_1|INTEGER	DefeatBonusRate_2|INTEGER	DefeatBonusRate_3|INTEGER	DefeatBonusRate_4|INTEGER	DefeatBonusRate_5|INTEGER	MedalExp|INTEGER	LadderType|INTEGER	_FatigueConTime|INTEGER	_FatigueConValue|INTEGER	_FatigueConExp|INTEGER	_FatigueConMedal|INTEGER	_ItemID|INTEGER	_NeedInven|INTEGER	_SkillSetting|INTEGER	_SelectableRevision|BOOLEAN	_DefaultRevision|BOOLEAN	_BattleGroundID|INTEGER	_UserCreate|INTEGER	_ModeDefaultRewardItem|INTEGER	_ModeDefaultRewardValue|INTEGER	_RankRewardItem1|INTEGER	_RankRewardValue1|INTEGER	_RankRewardItem2|INTEGER	_RankRewardValue2|INTEGER	_RankRewardItem3|INTEGER	_RankRewardValue3|INTEGER	_RankRewardItem4|INTEGER	_RankRewardValue4|INTEGER	_RankRewardItem5|INTEGER	_RankRewardValue5|INTEGER	_RankRewardItem6|INTEGER	_RankRewardValue6|INTEGER	_RankRewardItem7|INTEGER	_RankRewardValue7|INTEGER	_RankRewardItem8|INTEGER	_RankRewardValue8|INTEGER	_TooltipUIString|INTEGER	_ModeImage|TEXT	_SponsorUI|BOOLEAN
12	1	120024	2	3	5	7	0	0	120308	180	180	180	180	0	10	0	100	100	1	100	200	50	120200	201001	true	true	true	400	800	1200	1600	3200	20	20	20	20	20	200	400	600	800	1600	13	13	13	13	13	100	0	2	10	5	1	268494501	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7920	Colo_Round.dds	false
13	19	8496	2	3	5	7	0	0	120308	180	180	180	180	0	10	0	100	100	1	100	100	0	120200	201001	true	true	true	100	200	300	400	800	20	20	20	20	20	50	100	150	200	400	13	13	13	13	13	100	0	0	0	0	0	268494501	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8850	Colo_AI.dds	false
14	19	8496	2	3	5	7	0	0	120308	180	180	180	180	0	10	0	100	100	1	100	150	50	120200	201001	true	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8850	Colo_AI.dds	false
15	19	8496	2	3	5	7	0	0	120308	180	180	180	180	0	10	0	100	100	1	100	200	50	120200	201001	true	true	true	400	800	1200	1600	3200	20	20	20	20	20	200	400	600	800	1600	13	13	13	13	13	100	0	0	0	0	0	268494501	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8850	Colo_AI.dds	false
16	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
17	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
18	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
19	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
20	2	121074	2	3	5	7	0	0	120308	180	180	180	180	0	20	0	100	100	8	16	100	0	120200	201001	true	true	true	300	600	800	1200	1800	20	20	20	20	20	150	300	400	600	900	13	13	13	13	13	100	0	2	10	5	1	268494501	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7921	Colo_Captain.dds	false
21	2	121074	2	3	5	7	0	0	120308	180	180	180	180	0	20	0	100	100	8	16	150	50	120200	201001	true	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	2	10	5	1	0	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7921	Colo_Captain.dds	false
22	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
23	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
24	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
25	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
26	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
27	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
28	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
29	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
30	14	121123	1	1	0	0	0	0	121128	300	300	300	300	0	10	0	100	100	1	100	100	50	120200	0	true	true	false	100	200	300	400	800	30	30	30	30	30	50	100	150	200	400	20	20	20	20	20	100	0	2	10	5	1	268494501	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7923	Colo_AllKill.dds	false
31	14	121123	1	1	0	0	0	0	121128	300	300	300	300	0	10	0	100	100	1	100	100	50	120200	0	true	true	false	200	400	600	800	1200	30	30	30	30	30	100	200	300	400	600	20	20	20	20	20	100	0	2	10	5	1	268494501	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7923	Colo_AllKill.dds	false
32	14	121123	1	1	0	0	0	0	121128	300	300	300	300	0	10	0	100	100	1	100	150	50	120200	0	true	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	2	10	5	1	0	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7923	Colo_AllKill.dds	false
33	14	121123	1	1	0	0	0	0	121128	300	300	300	300	0	10	0	100	100	1	100	200	50	120200	0	true	true	false	400	800	1200	1600	3200	30	30	30	30	30	200	400	600	800	1600	20	20	20	20	20	100	0	2	10	5	1	268494501	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7923	Colo_AllKill.dds	false
34	20	8497	1	1	0	0	0	0	121128	300	300	300	300	0	10	0	100	100	1	100	100	50	120200	0	true	true	true	100	200	300	400	800	30	30	30	30	30	50	100	150	200	400	20	20	20	20	20	100	0	0	0	0	0	268494501	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8851	Colo_AI.dds	false
35	20	8497	1	1	0	0	0	0	121128	300	300	300	300	0	10	0	100	100	1	100	100	50	120200	0	true	true	true	200	400	600	800	1200	30	30	30	30	30	100	200	300	400	600	20	20	20	20	20	100	0	0	0	0	0	268494501	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8851	Colo_AI.dds	false
36	20	8497	1	1	0	0	0	0	121128	300	300	300	300	0	10	0	100	100	1	100	150	50	120200	0	true	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8851	Colo_AI.dds	false
37	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
38	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
39	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
40	3	120056	2	4	6	8	12	0	120310	300	600	900	1200	0	10	0	100	100	1	100	200	50	120201	201001	true	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	2	10	5	1	0	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7918	Colo_Solo.dds	false
41	3	120056	2	4	8	16	24	0	120310	300	600	900	1200	0	10	0	100	100	1	100	350	100	120201	201001	true	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	2	10	5	1	0	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7918	Colo_Solo.dds	false
42	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
43	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
44	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
45	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
46	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
47	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
48	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
49	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
50	50	1000021681	2	1	0	0	0	0	120310	1920	1920	1920	1920	0	5	3	100	100	4	10	500	150	120201	0	true	true	false	400	800	1200	1600	3200	30	30	30	30	30	200	400	600	800	1600	15	15	15	15	15	100	0	0	0	0	0	0	0	0	false	true	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7937		false
51	11	120074	2	3	5	7	0	0	120308	180	180	180	0	0	10	0	100	100	1	100	75	0	120080	201017	true	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	2	10	5	1	268494501	2	1	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7924	Colo_Ghoul.dds	false
52	11	120074	2	3	5	7	0	0	120308	180	180	180	0	0	10	0	100	100	1	100	75	0	120080	201018	true	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	2	10	5	1	268494501	2	1	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7924	Colo_Ghoul.dds	false
53	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
54	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
55	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
56	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
57	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
58	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
59	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
60	12	1000021681	2	1	0	0	0	0	120310	1920	1920	1920	1920	0	5	3	100	100	4	32	500	150	120201	201001	true	true	false	400	800	1200	1600	3200	30	30	30	30	30	200	400	600	800	1600	15	15	15	15	15	100	0	0	0	0	0	268494501	0	0	false	true	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Colo_GuildWar.dds	false
61	12	1000021681	2	1	0	0	0	0	120310	1920	1920	1920	1920	0	5	3	100	100	4	32	500	150	120201	201001	true	true	true	400	800	1200	1600	3200	30	30	30	30	30	200	400	600	800	1600	15	15	15	15	15	100	0	0	0	0	0	268494501	0	0	false	true	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7937	Colo_GuildWar.dds	false
62	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
63	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
64	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
65	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
66	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
67	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
68	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
