ROWID	_ClassID|INTEGER	_Level|INTEGER	_Experience|INTEGER	_CreatePropID|INTEGER	_CreateMapIndex|INTEGER	_CreateTutorialMapIndex|INTEGER	_CreateTutorialGateIndex|INTEGER	_CreateMapStartPosition_01_x|INTEGER	_CreateMapStartPosition_01_y|INTEGER	_CreateMapStartRadius_01|INTEGER	_CreateMapStartPosition_02_x|INTEGER	_CreateMapStartPosition_02_y|INTEGER	_CreateMapStartRadius_02|INTEGER	_CreateMapStartPosition_03_x|INTEGER	_CreateMapStartPosition_03_y|INTEGER	_CreateMapStartRadius_03|INTEGER	_CreateMapStartPosition_04_x|INTEGER	_CreateMapStartPosition_04_y|INTEGER	_CreateMapStartRadius_04|INTEGER	_CreateMapStartPosition_05_x|INTEGER	_CreateMapStartPosition_05_y|INTEGER	_CreateMapStartRadius_05|INTEGER	_CreateMapStartPosition_06_x|INTEGER	_CreateMapStartPosition_06_y|INTEGER	_CreateMapStartRadius_06|INTEGER	_CreateMapStartPosition_07_x|INTEGER	_CreateMapStartPosition_07_y|INTEGER	_CreateMapStartRadius_07|INTEGER	_CreateMapStartPosition_08_x|INTEGER	_CreateMapStartPosition_08_y|INTEGER	_CreateMapStartRadius_08|INTEGER	_CreateMapStartPosition_09_x|INTEGER	_CreateMapStartPosition_09_y|INTEGER	_CreateMapStartRadius_09|INTEGER	_CreateMapStartPosition_10_x|INTEGER	_CreateMapStartPosition_10_y|INTEGER	_CreateMapStartRadius_10|INTEGER	_DefaultBody|INTEGER	_DefaultLeg|INTEGER	_DefaultHand|INTEGER	_DefaultFoot|INTEGER	_Face1|INTEGER	_Hair1|INTEGER	_HairColor1R|INTEGER	_HairColor1G|INTEGER	_HairColor1B|INTEGER	_Helmet1|INTEGER	_Body1|INTEGER	_Leg1|INTEGER	_Hand1|INTEGER	_Foot1|INTEGER	_Weapon1|INTEGER	_Weapon2|INTEGER	_DefaultItem1|INTEGER	_DefaultItem1Number|INTEGER	_DefaultItem2|INTEGER	_DefaultItem2Number|INTEGER	_DefaultItem3|INTEGER	_DefaultItem3Number|INTEGER	_DefaultItem4|INTEGER	_DefaultItem4Number|INTEGER	_DefaultItem5|INTEGER	_DefaultItem5Number|INTEGER	_DefaultItem6|INTEGER	_DefaultItem6Number|INTEGER	_DefaultItem7|INTEGER	_DefaultItem7Number|INTEGER	_DefaultItem8|INTEGER	_DefaultItem8Number|INTEGER	_DefaultItem9|INTEGER	_DefaultItem9Number|INTEGER	_DefaultItem10|INTEGER	_DefaultItem10Number|INTEGER	_DefaultItem11|INTEGER	_DefaultItem11Number|INTEGER	_DefaultItem12|INTEGER	_DefaultItem12Number|INTEGER	_DefaultItem13|INTEGER	_DefaultItem13Number|INTEGER	_DefaultItem14|INTEGER	_DefaultItem14Number|INTEGER	_DefaultItem15|INTEGER	_DefaultItem15Number|INTEGER	_DefaultItem16|INTEGER	_DefaultItem16Number|INTEGER	_DefaultItem17|INTEGER	_DefaultItem17Number|INTEGER	_DefaultItem18|INTEGER	_DefaultItem18Number|INTEGER	_DefaultItem19|INTEGER	_DefaultItem19Number|INTEGER	_DefaultItem20|INTEGER	_DefaultItem20Number|INTEGER	_DefaultItem21|INTEGER	_DefaultItem21Number|INTEGER	_DefaultItem22|INTEGER	_DefaultItem22Number|INTEGER	_DefaultItem23|INTEGER	_DefaultItem23Number|INTEGER	_DefaultItem24|INTEGER	_DefaultItem24Number|INTEGER	_DefaultItem25|INTEGER	_DefaultItem25Number|INTEGER	_DefaultSkill1|INTEGER	_DefaultSkill2|INTEGER	_DefaultSkill3|INTEGER	_DefaultSkill4|INTEGER	_DefaultSkill5|INTEGER	_DefaultSkill6|INTEGER	_DefaultSkill7|INTEGER	_DefaultSkill8|INTEGER	_DefaultSkill9|INTEGER	_DefaultSkill10|INTEGER	_QuickSlot1Type|INTEGER	_QuickSlot1Index|INTEGER	_QuickSlot2Type|INTEGER	_QuickSlot2Index|INTEGER	_QuickSlot3Type|INTEGER	_QuickSlot3Index|INTEGER	_QuickSlot4Type|INTEGER	_QuickSlot4Index|INTEGER	_QuickSlot5Type|INTEGER	_QuickSlot5Index|INTEGER	_QuickSlot6Type|INTEGER	_QuickSlot6Index|INTEGER	_QuickSlot7Type|INTEGER	_QuickSlot7Index|INTEGER	_QuickSlot8Type|INTEGER	_QuickSlot8Index|INTEGER	_QuickSlot9Type|INTEGER	_QuickSlot9Index|INTEGER	_QuickSlot10Type|INTEGER	_QuickSlot10Index|INTEGER	_QuickSlot11Type|INTEGER	_QuickSlot11Index|INTEGER	_QuickSlot12Type|INTEGER	_QuickSlot12Index|INTEGER	_QuickSlot13Type|INTEGER	_QuickSlot13Index|INTEGER	_QuickSlot14Type|INTEGER	_QuickSlot14Index|INTEGER	_QuickSlot15Type|INTEGER	_QuickSlot15Index|INTEGER	_QuickSlot16Type|INTEGER	_QuickSlot16Index|INTEGER	_QuickSlot17Type|INTEGER	_QuickSlot17Index|INTEGER	_QuickSlot18Type|INTEGER	_QuickSlot18Index|INTEGER	_QuickSlot19Type|INTEGER	_QuickSlot19Index|INTEGER	_QuickSlot20Type|INTEGER	_QuickSlot20Index|INTEGER	_QuickSlot21Type|INTEGER	_QuickSlot21Index|INTEGER	_QuickSlot22Type|INTEGER	_QuickSlot22Index|INTEGER	_QuickSlot23Type|INTEGER	_QuickSlot23Index|INTEGER	_QuickSlot24Type|INTEGER	_QuickSlot24Index|INTEGER	_QuickSlot25Type|INTEGER	_QuickSlot25Index|INTEGER	_QuickSlot26Type|INTEGER	_QuickSlot26Index|INTEGER	_QuickSlot27Type|INTEGER	_QuickSlot27Index|INTEGER	_QuickSlot28Type|INTEGER	_QuickSlot28Index|INTEGER	_QuickSlot29Type|INTEGER	_QuickSlot29Index|INTEGER	_QuickSlot30Type|INTEGER	_QuickSlot30Index|INTEGER	_QuickSlot31Type|INTEGER	_QuickSlot31Index|INTEGER	_QuickSlot32Type|INTEGER	_QuickSlot32Index|INTEGER	_QuickSlot33Type|INTEGER	_QuickSlot33Index|INTEGER	_QuickSlot34Type|INTEGER	_QuickSlot34Index|INTEGER	_QuickSlot35Type|INTEGER	_QuickSlot35Index|INTEGER	_QuickSlot36Type|INTEGER	_QuickSlot36Index|INTEGER	_QuickSlot37Type|INTEGER	_QuickSlot37Index|INTEGER	_QuickSlot38Type|INTEGER	_QuickSlot38Index|INTEGER	_QuickSlot39Type|INTEGER	_QuickSlot39Index|INTEGER	_QuickSlot40Type|INTEGER	_QuickSlot40Index|INTEGER	_QuickSlot41Type|INTEGER	_QuickSlot41Index|INTEGER	_QuickSlot42Type|INTEGER	_QuickSlot42Index|INTEGER	_QuickSlot43Type|INTEGER	_QuickSlot43Index|INTEGER	_QuickSlot44Type|INTEGER	_QuickSlot44Index|INTEGER	_QuickSlot45Type|INTEGER	_QuickSlot45Index|INTEGER	_QuickSlot46Type|INTEGER	_QuickSlot46Index|INTEGER	_QuickSlot47Type|INTEGER	_QuickSlot47Index|INTEGER	_QuickSlot48Type|INTEGER	_QuickSlot48Index|INTEGER	_QuickSlot49Type|INTEGER	_QuickSlot49Index|INTEGER	_QuickSlot50Type|INTEGER	_QuickSlot50Index|INTEGER	_QuickSlot51Type|INTEGER	_QuickSlot51Index|INTEGER	_QuickSlot52Type|INTEGER	_QuickSlot52Index|INTEGER	_QuickSlot53Type|INTEGER	_QuickSlot53Index|INTEGER	_QuickSlot54Type|INTEGER	_QuickSlot54Index|INTEGER	_QuickSlot55Type|INTEGER	_QuickSlot55Index|INTEGER	_QuickSlot56Type|INTEGER	_QuickSlot56Index|INTEGER	_QuickSlot57Type|INTEGER	_QuickSlot57Index|INTEGER	_QuickSlot58Type|INTEGER	_QuickSlot58Index|INTEGER	_QuickSlot59Type|INTEGER	_QuickSlot59Index|INTEGER	_QuickSlot60Type|INTEGER	_QuickSlot60Index|INTEGER	_DefaultGesture1|INTEGER	_DefaultGesture2|INTEGER	_DefaultGesture3|INTEGER	_DefaultGesture4|INTEGER	_DefaultGesture5|INTEGER	_DefaultGesture6|INTEGER	_DefaultGesture7|INTEGER	_DefaultGesture8|INTEGER	_DefaultGesture9|INTEGER	_DefaultGesture10|INTEGER	_SkinColor1R|DOUBLE	_SkinColor1G|DOUBLE	_SkinColor1B|DOUBLE	_SkinColor1A|DOUBLE	_EyeColor1R|INTEGER	_EyeColor1G|INTEGER	_EyeColor1B|INTEGER	_SkinButtonColor1R|INTEGER	_SkinButtonColor1G|INTEGER	_SkinButtonColor1B|INTEGER	_EyeButtonColor1R|INTEGER	_EyeButtonColor1G|INTEGER	_EyeButtonColor1B|INTEGER	_HairButtonColor1R|INTEGER	_HairButtonColor1G|INTEGER	_HairButtonColor1B|INTEGER	_ClassImage|TEXT	_ClassIcon|TEXT	_Jobcode1|INTEGER	_Jobcode2|INTEGER	_JobName|INTEGER	_Gold|INTEGER	_SkillPoint|INTEGER	_Awakening|INTEGER
11	3	95	81976828	0	0	0	1	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	292000	293000	294000	295000	295201	296201	254	69	134	-1	-1	-1	-1	-1	0	0	374341682	500	374341682	500	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	2002	2031	2012	2013	2015	2034	0	0	0	0	2	2002	2	2031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	5	6	7	8	9	10	0.5	0.5	0.5	1.0	165	193	168	255	255	255	255	255	255	255	255	255	DwcForceuser.dds		18	37	336	0	237	1
12	3	95	81976828	0	0	0	1	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	292000	293000	294000	295000	295201	296201	254	69	134	-1	-1	-1	-1	-1	0	0	374341682	500	374341682	500	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	2002	2031	2012	2013	2015	2034	0	0	0	0	2	2002	2	2031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	5	6	7	8	9	10	0.5	0.5	0.5	1.0	165	193	168	255	255	255	255	255	255	255	255	255	DwcForceuser.dds		18	38	337	0	237	1
13	4	95	81976828	0	0	0	1	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	292000	293000	294000	295000	295301	296301	253	249	246	-1	-1	-1	-1	-1	0	0	374341682	500	374341682	500	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	3028	3002	3015	3020	3017	3030	0	0	0	0	2	3028	2	3002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	5	6	7	8	9	10	0.5	0.5	0.5	1.0	165	193	168	255	255	255	255	255	255	255	255	255	DwcPaladin.dds		20	41	340	0	237	1
14	4	95	81976828	0	0	0	1	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	292000	293000	294000	295000	295301	296301	253	249	246	-1	-1	-1	-1	-1	0	0	374341682	500	374341682	500	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	3028	3002	3015	3020	3017	3030	0	0	0	0	2	3028	2	3002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	5	6	7	8	9	10	0.5	0.5	0.5	1.0	165	193	168	255	255	255	255	255	255	255	255	255	DwcPaladin.dds		20	42	341	0	237	1
15	4	95	81976828	0	0	0	1	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	292000	293000	294000	295000	295302	296302	253	249	246	-1	-1	-1	-1	-1	0	0	374341682	500	374341682	500	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	3028	3002	3015	3020	3017	3030	0	0	0	0	2	3028	2	3002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	5	6	7	8	9	10	0.5	0.5	0.5	1.0	165	193	168	255	255	255	255	255	255	255	255	255	DwcPriest.dds		22	43	342	0	237	1
16	4	95	81976828	0	0	0	1	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	292000	293000	294000	295000	295302	296302	253	249	246	-1	-1	-1	-1	-1	0	0	374341682	500	374341682	500	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	3028	3002	3015	3020	3017	3030	0	0	0	0	2	3028	2	3002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	5	6	7	8	9	10	0.5	0.5	0.5	1.0	165	193	168	255	255	255	255	255	255	255	255	255	DwcPriest.dds		22	44	343	0	237	1
17	5	95	81976828	0	0	0	1	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	292000	293000	294000	295000	295401	296401	216	222	165	-1	-1	-1	-1	-1	0	0	374341682	500	374341682	500	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	4001	4002	4004	4006	4003	4222	0	0	0	0	2	4001	2	4002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	5	6	7	8	9	10	0.5	0.5	0.5	1.0	165	193	168	255	255	255	255	255	255	255	255	255	DwcEngineer.dds		46	47	346	0	237	1
18	5	95	81976828	0	0	0	1	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	292000	293000	294000	295000	295401	296401	216	222	165	-1	-1	-1	-1	-1	0	0	374341682	500	374341682	500	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	4001	4002	4004	4006	4003	4222	0	0	0	0	2	4001	2	4002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	5	6	7	8	9	10	0.5	0.5	0.5	1.0	165	193	168	255	255	255	255	255	255	255	255	255	DwcEngineer.dds		46	48	347	0	237	1
19	5	95	81976828	0	0	0	1	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	292000	293000	294000	295000	295402	296403	216	222	165	-1	-1	-1	-1	-1	0	0	374341682	500	374341682	500	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	4001	4002	4004	4006	4003	4222	0	0	0	0	2	4001	2	4002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	5	6	7	8	9	10	0.5	0.5	0.5	1.0	165	193	168	255	255	255	255	255	255	255	255	255	DwcAlchemist.dds		49	50	349	0	237	1
20	5	95	81976828	0	0	0	1	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	292000	293000	294000	295000	295402	296403	216	222	165	-1	-1	-1	-1	-1	0	0	374341682	500	374341682	500	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	4001	4002	4004	4006	4003	4222	0	0	0	0	2	4001	2	4002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	5	6	7	8	9	10	0.5	0.5	0.5	1.0	165	193	168	255	255	255	255	255	255	255	255	255	DwcAlchemist.dds		49	51	350	0	237	1
21	6	95	81976828	0	0	0	1	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	292000	293000	294000	295000	295501	296501	244	233	222	-1	-1	-1	-1	-1	0	0	374341682	500	374341682	500	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	5000	5001	5002	5008	5009	5010	0	0	0	0	2	5000	2	5001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	5	6	7	8	9	10	0.5	0.5	0.5	1.0	165	193	168	255	255	255	255	255	255	255	255	255	DwcScreamer.dds		54	55	354	0	237	1
22	6	95	81976828	0	0	0	1	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	292000	293000	294000	295000	295501	296501	244	233	222	-1	-1	-1	-1	-1	0	0	374341682	500	374341682	500	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	5000	5001	5002	5008	5009	5010	0	0	0	0	2	5000	2	5001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	5	6	7	8	9	10	0.5	0.5	0.5	1.0	165	193	168	255	255	255	255	255	255	255	255	255	DwcScreamer.dds		54	56	355	0	237	1
23	6	95	81976828	0	0	0	1	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	292000	293000	294000	295000	295501	296501	244	233	222	-1	-1	-1	-1	-1	0	0	374341682	500	374341682	500	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	5000	5001	5002	5008	5009	5010	0	0	0	0	2	5000	2	5001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	5	6	7	8	9	10	0.5	0.5	0.5	1.0	165	193	168	255	255	255	255	255	255	255	255	255	DwcSpiritDancer.dds		57	58	357	0	237	1
24	6	95	81976828	0	0	0	1	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	292000	293000	294000	295000	295501	296501	244	233	222	-1	-1	-1	-1	-1	0	0	374341682	500	374341682	500	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	5000	5001	5002	5008	5009	5010	0	0	0	0	2	5000	2	5001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	5	6	7	8	9	10	0.5	0.5	0.5	1.0	165	193	168	255	255	255	255	255	255	255	255	255	DwcSpiritDancer.dds		57	59	358	0	237	1
25	7	95	81976828	0	0	0	1	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	292000	293000	294000	295000	295601	296601	200	185	145	-1	-1	-1	-1	-1	0	0	374341682	500	374341682	500	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	6001	6002	6003	6010	6011	6007	6012	0	0	0	2	6001	2	6002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	5	6	7	8	9	10	0.5	0.5	0.5	1.0	165	193	168	255	255	255	255	255	255	255	255	255	DwcChaser.dds		62	63	363	0	237	1
