ROWID	_PhysicalAttackMinRevision|INTEGER	_PhysicalAttackMaxRevision|INTEGER	_MagicAttackMinRevision|INTEGER	_MagicAttackMaxRevision|INTEGER	_PhysicalDefenseRevision|INTEGER	_MagicDefenseRevision|INTEGER	_MaxHPRevision|INTEGER	_MaxSPRevision|INTEGER	_RecoverySPRevision|INTEGER	_StiffRevision|INTEGER	_StiffResistanceRevision|INTEGER	_CriticalRevision|INTEGER	_CriticalResistanceRevision|INTEGER	_StunRevision|INTEGER	_StunResistanceRevision|INTEGER	_SuperAmmorRevision|INTEGER	_MoveSpeedRevision|INTEGER	_FinalDamageRevision|INTEGER	_ElementAttackRevision|INTEGER	_ElementDefenseRevision|INTEGER	_StrengthRevision|INTEGER	_AgilityRevision|INTEGER	_IntelligenceRevision|INTEGER	_StaminaRevision|INTEGER	_CriticalDamageRevision|INTEGER	_PVPAttackPowerRevision|INTEGER	_PVPDefencePowerRevision|INTEGER
24	144	249	82	160	1696	975	2130	1330	24	500	264	276	578	480	178	100	300	420	1	1	88	55	38	71	276	1	1
25	152	262	87	169	1787	1027	2250	1400	26	527	279	294	620	506	188	100	300	442	1	1	93	59	40	75	294	1	1
26	160	276	91	177	1878	1080	2370	1470	27	558	297	309	651	535	198	100	300	465	1	1	99	62	42	79	309	1	1
27	168	290	96	186	1969	1133	2490	1575	28	586	312	324	682	562	208	100	300	487	1	1	104	65	45	83	324	1	1
28	176	303	100	195	2060	1185	2610	1645	30	613	327	343	724	588	218	100	300	510	1	1	109	69	47	87	343	1	1
29	184	317	105	203	2151	1237	2760	1715	31	641	342	357	756	615	230	100	300	532	1	1	114	72	49	92	357	1	1
30	192	331	109	212	2242	1289	2880	1785	32	671	360	372	788	643	240	100	300	555	1	1	120	75	51	96	372	1	1
31	200	344	114	221	2333	1342	3000	1890	34	696	372	391	830	667	250	100	300	577	1	1	124	79	54	100	391	1	1
32	208	358	118	229	2424	1394	3120	1960	35	727	390	406	861	696	260	100	300	600	1	1	130	82	56	104	406	1	1
33	219	376	124	241	2546	1464	3300	2065	37	764	411	426	903	732	275	100	300	630	1	1	137	86	59	110	426	1	1
34	229	394	130	252	2667	1534	3450	2170	38	802	432	449	956	768	288	100	300	660	1	1	144	91	62	115	449	1	1
35	240	412	136	264	2788	1604	3630	2275	40	840	453	469	998	804	302	100	300	690	1	1	151	95	65	121	469	1	1
36	251	430	142	275	2910	1674	3810	2380	42	878	474	489	1040	840	318	100	300	720	1	1	158	99	68	127	489	1	1
37	261	448	148	287	3031	1744	3960	2485	44	916	495	512	1092	876	330	100	300	750	1	1	165	104	71	132	512	1	1
38	272	466	154	298	3153	1813	4140	2590	46	953	516	532	1134	912	345	100	300	780	1	1	172	108	74	138	532	1	1
39	283	484	160	309	3274	1883	4290	2695	47	991	537	556	1186	948	358	100	300	810	1	1	179	113	77	143	556	1	1
40	293	502	166	321	3395	1953	4470	2800	49	1029	558	576	1228	984	372	100	300	850	1	1	186	117	80	149	576	1	1
41	314	537	178	342	3620	2083	4800	3010	52	1102	600	618	1323	1054	400	100	300	894	1	1	200	126	86	160	618	1	1
42	334	571	189	364	3842	2210	5130	3220	56	1175	642	661	1418	1123	428	100	300	938	1	1	214	135	92	171	661	1	1
43	354	604	200	385	4065	2338	5490	3430	60	1247	684	699	1502	1191	458	100	300	982	1	1	228	143	98	183	699	1	1
44	373	635	210	404	4260	2451	5820	3640	63	1316	726	740	1596	1256	485	100	300	1026	1	1	242	152	104	194	740	1	1
45	396	673	223	427	4503	2592	6180	3885	67	1398	774	787	1701	1333	515	100	300	1070	1	1	258	162	111	206	787	1	1
46	418	710	235	450	4744	2730	6570	4095	71	1479	822	834	1806	1410	548	100	300	1114	1	1	274	172	117	219	834	1	1
47	440	746	247	473	4985	2868	6960	4340	75	1557	867	881	1911	1484	580	100	300	1158	1	1	289	182	124	232	881	1	1
48	463	783	259	496	5219	3004	7320	4585	79	1637	915	927	2016	1559	610	100	300	1202	1	1	305	192	131	244	927	1	1
49	487	824	272	521	5482	3154	7740	4830	83	1728	969	978	2132	1644	645	100	300	1246	1	1	323	203	138	258	978	1	1
50	513	867	287	549	5770	3321	8160	5110	88	1818	1020	1031	2247	1731	680	100	300	1290	1	1	340	214	146	272	1031	1	1
51	555	946	313	602	6369	3664	8580	5355	92	1956	1074	1099	2362	1868	715	100	300	1336	1	1	358	225	153	286	1099	1	1
52	590	1010	334	645	6835	3931	9000	5635	96	2073	1125	1160	2478	1983	750	100	300	1382	1	1	375	236	161	300	1160	1	1
53	630	1084	359	694	7381	4245	9480	5915	101	2206	1182	1229	2604	2114	790	100	300	1428	1	1	394	248	169	316	1229	1	1
54	672	1161	384	746	7948	4570	9930	6195	106	2345	1242	1299	2730	2252	828	100	300	1474	1	1	414	260	177	331	1299	1	1
55	714	1240	411	799	8532	4906	10380	6510	111	2484	1299	1370	2856	2390	865	100	300	1520	1	1	433	272	186	346	1370	1	1
56	758	1321	437	854	9138	5253	10860	6790	116	2626	1356	1442	2982	2531	905	100	300	1566	1	1	452	284	194	362	1442	1	1
57	807	1414	468	917	9839	5655	11370	7105	121	2788	1419	1523	3118	2692	948	100	300	1612	1	1	473	297	203	379	1523	1	1
58	860	1515	502	985	10607	6095	11850	7420	126	2959	1482	1610	3266	2864	988	100	300	1658	1	1	494	311	212	395	1610	1	1
59	910	1608	533	1049	11314	6500	12360	7735	131	3121	1545	1690	3402	3026	1030	100	300	1704	1	1	515	324	221	412	1690	1	1
60	947	1673	554	1091	11766	6761	12870	8050	136	3247	1608	1758	3538	3148	1072	100	300	1750	1	1	536	337	230	429	1758	1	1
61	989	1748	579	1140	12295	7064	13470	8400	143	3395	1683	1836	3696	3291	1122	100	300	1812	1	1	561	352	240	449	1836	1	1
62	1044	1845	611	1203	12974	7454	14220	8890	150	3583	1776	1940	3906	3473	1185	100	300	1874	1	1	592	372	254	474	1940	1	1
63	1112	1964	650	1280	13804	7931	15150	9450	160	3815	1893	2065	4158	3698	1262	100	300	1937	1	1	631	396	270	505	2065	1	1
64	1191	2103	697	1371	14785	8495	16230	10150	172	4087	2028	2214	4462	3961	1352	100	300	1999	1	1	676	425	290	541	2214	1	1
65	1283	2265	750	1476	15917	9145	17490	10920	185	4404	2187	2385	4809	4267	1458	100	300	2062	1	1	729	458	312	583	2385	1	1
66	1386	2448	811	1596	17200	9882	18930	11830	200	4759	2364	2578	5198	4612	1578	100	300	2124	1	1	788	495	338	631	2578	1	1
67	1503	2653	878	1728	18633	10706	20520	12810	216	5160	2565	2795	5638	4999	1710	100	300	2186	1	1	855	537	366	684	2795	1	1
68	1634	2884	956	1880	20257	11639	22320	13965	235	5608	2787	3043	6142	5434	1860	100	300	2249	1	1	929	585	399	744	3043	1	1
69	1781	3143	1041	2048	22068	12680	24330	15225	256	6115	3042	3314	6688	5924	2028	100	300	2311	1	1	1014	637	435	811	3314	1	1
70	1943	3428	1135	2233	24066	13828	26550	16590	279	6672	3321	3619	7308	6464	2212	100	300	2374	1	1	1107	696	474	885	3619	1	1
71	2111	3724	1234	2426	26142	15021	28860	18060	303	7249	3609	3931	7938	7023	2405	100	300	2458	1	1	1203	756	516	962	3931	1	1
72	2285	4031	1335	2625	28291	16256	31260	19530	328	7848	3909	4257	8600	7602	2605	100	300	2543	1	1	1303	819	558	1042	4257	1	1
73	2462	4343	1439	2829	30479	17513	33690	21070	354	8456	4212	4588	9272	8191	2808	100	300	2627	1	1	1404	883	602	1123	4588	1	1
74	2648	4671	1547	3043	32783	18837	36270	22680	380	9095	4530	4936	9975	8810	3022	100	300	2712	1	1	1510	950	648	1209	4936	1	1
75	2847	5021	1663	3270	35233	20244	39000	24360	409	9781	4875	5305	10720	9473	3250	100	300	2797	1	1	1625	1021	696	1300	5305	1	1
76	3055	5387	1784	3508	37799	21719	41850	26145	438	10495	5232	5694	11508	10165	3488	100	300	2881	1	1	1744	1096	747	1395	5694	1	1
77	3271	5769	1911	3758	40479	23259	44820	28035	469	11240	5604	6098	12327	10886	3735	100	300	2966	1	1	1868	1174	801	1494	6098	1	1
78	3497	6168	2043	4017	43271	24863	47940	29960	502	12016	5991	6522	13188	11638	3995	100	300	3050	1	1	1997	1256	856	1598	6522	1	1
79	3732	6582	2180	4286	46174	26532	51180	31990	536	12825	6396	6959	14070	12421	4265	100	300	3135	1	1	2132	1340	914	1706	6959	1	1
80	3977	7012	2323	4567	49193	28266	54540	34090	570	13665	6816	7415	14994	13234	4545	100	300	3220	1	1	2272	1428	974	1818	7415	1	1
81	4252	7497	2483	4882	52588	30217	58320	36435	610	14612	7290	7929	16034	14151	4860	100	300	3334	1	1	2430	1527	1041	1944	7929	1	1
82	4557	8035	2661	5232	56361	32385	62520	39060	654	15662	7815	8499	17188	15168	5210	100	300	3449	1	1	2605	1637	1116	2084	8499	1	1
83	4893	8627	2858	5618	60511	34770	67140	41965	702	16816	8391	9127	18459	16285	5595	100	300	3564	1	1	2797	1758	1199	2238	9127	1	1
84	5260	9273	3072	6038	65038	37371	72180	45115	754	18077	9021	9811	19845	17505	6015	100	300	3678	1	1	3007	1890	1289	2406	9811	1	1
85	5663	9984	3307	6501	70019	40233	77730	48580	812	19463	9714	10563	21368	18847	6478	100	300	3793	1	1	3238	2035	1388	2591	10563	1	1
86	6097	10748	3560	6998	75376	43311	83670	52290	874	20956	10461	11376	23016	20293	6972	100	300	3908	1	1	3487	2192	1494	2789	11376	1	1
87	6561	11567	3831	7530	81110	46606	90060	56280	941	22552	11259	12242	24770	21838	7505	100	300	4022	1	1	3753	2359	1608	3002	12242	1	1
88	7056	12438	4120	8098	87222	50118	96870	60550	1012	24252	12108	13166	26638	23484	8072	100	300	4137	1	1	4036	2537	1730	3229	13166	1	1
89	7576	13354	4423	8694	93636	53803	104010	64995	1086	26039	13002	14135	28602	25214	8668	100	300	4252	1	1	4334	2724	1857	3467	14135	1	1
90	8131	14333	4747	9331	100503	57749	111660	69790	1166	27949	13956	15173	30702	27063	9305	100	300	4367	1	1	4652	2924	1994	3722	15173	1	1
91	8736	15399	5100	10025	107973	62041	119970	74970	1252	30030	14997	16303	32991	29078	9998	100	300	4522	1	1	4999	3142	2142	3999	16303	1	1
92	9390	16551	5482	10775	116047	66681	128970	80605	1346	32276	16119	17522	35458	31253	10748	100	300	4678	1	1	5373	3377	2303	4299	17522	1	1
93	10099	17800	5896	11588	124799	71710	138690	86695	1447	34713	17337	18848	38146	33612	11558	100	300	4833	1	1	5779	3633	2477	4623	18848	1	1
94	10863	19146	6341	12463	134231	77130	149190	93240	1557	37340	18651	20274	41034	36155	12432	100	300	4989	1	1	6217	3908	2664	4973	20274	1	1
95	11681	20588	6819	13402	144343	82940	160470	100275	1674	40155	20058	21800	44121	38880	13372	100	300	5144	1	1	6686	4202	2865	5349	21800	1	1
96	12554	22127	7329	14405	155133	89140	172470	107800	1799	43157	21558	23433	47428	41787	14372	100	300	5300	1	1	7186	4517	3080	5749	23433	1	1
97	13483	23763	7871	15470	166602	95731	185250	115780	1932	46350	23154	25165	50936	44878	15438	100	300	5455	1	1	7718	4851	3308	6175	25165	1	1
98	14467	25497	8445	16597	178750	102711	198750	124215	2073	49733	24846	27005	54663	48154	16562	100	300	5611	1	1	8282	5206	3549	6625	27005	1	1
99	15512	27338	9055	17796	191653	110125	213120	133210	2222	53323	26640	28955	58611	51630	17760	100	300	5766	1	1	8880	5582	3806	7104	28955	1	1
100	16605	29265	9693	19050	205160	117886	228150	142590	2379	57085	28521	30997	62748	55272	19012	100	300	5922	1	1	9507	5976	4074	7605	30997	1	1
101	30	46	19	30	172	188	330	315	4	36	36	142	189	30	28	100	300	75	1	1	12	18	9	11	142	1	1
102	35	53	22	35	200	218	390	350	5	42	42	166	220	35	32	100	300	87	1	1	14	21	10	13	166	1	1
103	40	60	25	40	228	248	450	420	6	48	48	185	242	40	38	100	300	99	1	1	16	23	12	15	185	1	1
104	45	68	28	45	255	278	480	455	6	54	54	212	284	45	40	100	300	111	1	1	18	27	13	16	212	1	1
105	50	75	31	50	283	309	540	525	7	60	60	232	304	50	45	100	300	123	1	1	20	29	15	18	232	1	1
106	55	82	34	54	310	338	600	560	8	66	66	255	336	55	50	100	300	135	1	1	22	32	16	20	255	1	1
107	59	89	37	60	338	369	660	630	9	72	72	275	357	60	55	100	300	147	1	1	24	34	18	22	275	1	1
108	65	97	40	64	365	399	690	665	9	78	78	301	399	65	58	100	300	159	1	1	26	38	19	23	301	1	1
109	69	104	43	69	393	429	750	735	10	84	84	321	420	70	62	100	300	171	1	1	28	40	21	25	321	1	1
110	74	111	46	74	421	459	810	770	11	90	90	344	452	75	68	100	300	183	1	1	30	43	22	27	344	1	1
111	79	118	49	78	448	489	870	805	11	96	96	367	483	80	72	100	300	195	1	1	32	46	23	29	367	1	1
112	84	126	52	84	475	519	900	875	12	102	102	390	514	85	75	100	300	207	1	1	34	49	25	30	390	1	1
113	89	133	55	88	503	549	960	910	13	108	108	414	546	90	80	100	300	219	1	1	36	52	26	32	414	1	1
114	93	140	58	93	531	579	1020	980	13	114	114	433	567	95	85	100	300	231	1	1	38	54	28	34	433	1	1
115	108	166	69	112	651	710	1080	1015	17	120	120	501	598	100	90	100	300	285	1	1	40	57	29	36	501	1	1
116	114	175	72	118	686	748	1140	1085	18	129	129	527	630	108	95	100	300	300	1	1	43	60	31	38	527	1	1
117	120	184	76	125	720	786	1200	1155	18	138	138	554	662	115	100	100	300	315	1	1	46	63	33	40	554	1	1
118	126	193	80	131	754	823	1260	1225	19	144	144	583	704	120	105	100	300	330	1	1	48	67	35	42	583	1	1
119	133	202	83	136	789	860	1320	1260	20	150	150	617	756	125	110	100	300	345	1	1	50	72	36	44	617	1	1
120	138	211	87	142	824	898	1410	1330	21	159	159	640	777	132	118	100	300	360	1	1	53	74	38	47	640	1	1
121	144	220	91	148	858	936	1470	1400	22	168	168	666	808	140	122	100	300	375	1	1	56	77	40	49	666	1	1
122	150	229	95	155	892	974	1530	1470	23	174	174	696	850	145	128	100	300	390	1	1	58	81	42	51	696	1	1
123	157	238	99	161	927	1011	1590	1540	24	180	180	725	892	150	132	100	300	405	1	1	60	85	44	53	725	1	1
124	163	247	102	166	961	1048	1650	1575	24	189	189	755	934	158	138	100	300	420	1	1	63	89	45	55	755	1	1
125	171	260	108	175	1013	1105	1770	1680	26	201	201	793	976	168	148	100	300	442	1	1	67	93	48	59	793	1	1
126	181	274	114	185	1065	1162	1860	1785	27	210	210	838	1040	175	155	100	300	465	1	1	70	99	51	62	838	1	1
127	190	288	119	193	1116	1217	1950	1855	28	222	222	883	1102	185	162	100	300	487	1	1	74	105	53	65	883	1	1
128	199	301	124	202	1168	1274	2070	1960	30	234	234	920	1144	195	172	100	300	510	1	1	78	109	56	69	920	1	1
129	208	315	130	212	1220	1331	2160	2065	31	246	246	961	1197	205	180	100	300	532	1	1	82	114	59	72	961	1	1
130	217	328	136	221	1271	1387	2250	2170	32	258	258	1003	1250	215	188	100	300	555	1	1	86	119	62	75	1003	1	1
131	226	342	141	229	1323	1443	2370	2240	34	267	267	1047	1312	222	198	100	300	577	1	1	89	125	64	79	1047	1	1
132	235	355	147	238	1375	1500	2460	2345	35	279	279	1089	1365	232	205	100	300	600	1	1	93	130	67	82	1089	1	1
133	247	373	155	251	1443	1575	2580	2485	37	294	294	1145	1438	245	215	100	300	630	1	1	98	137	71	86	1145	1	1
134	259	391	162	262	1513	1650	2730	2590	38	309	309	1201	1512	258	228	100	300	660	1	1	103	144	74	91	1201	1	1
135	271	409	169	275	1581	1725	2850	2730	40	324	324	1257	1586	270	238	100	300	690	1	1	108	151	78	95	1257	1	1
136	283	428	176	286	1650	1800	2970	2835	42	339	339	1317	1670	282	248	100	300	720	1	1	113	159	81	99	1317	1	1
137	295	445	184	298	1719	1875	3120	2975	44	354	354	1369	1732	295	260	100	300	750	1	1	118	165	85	104	1369	1	1
138	307	463	192	311	1788	1951	3240	3115	46	369	369	1425	1806	308	270	100	300	780	1	1	123	172	89	108	1425	1	1
139	319	481	199	322	1857	2025	3390	3220	47	384	384	1481	1880	320	282	100	300	810	1	1	128	179	92	113	1481	1	1
140	331	499	206	334	1926	2101	3510	3360	49	399	399	1538	1953	332	292	100	300	850	1	1	133	186	96	117	1538	1	1
141	354	533	220	357	2053	2240	3780	3605	52	429	429	1645	2100	358	315	100	300	894	1	1	143	200	103	126	1645	1	1
142	377	567	234	379	2180	2378	4050	3850	56	459	459	1752	2247	382	338	100	300	938	1	1	153	214	110	135	1752	1	1
143	400	601	248	401	2305	2515	4290	4095	60	489	489	1862	2404	408	358	100	300	982	1	1	163	229	117	143	1862	1	1
144	421	631	261	421	2417	2637	4560	4375	63	519	519	1958	2541	432	380	100	300	1026	1	1	173	242	125	152	1958	1	1
145	446	669	276	446	2555	2788	4860	4655	67	552	552	2077	2709	460	405	100	300	1070	1	1	184	258	133	162	2077	1	1
146	471	705	291	470	2692	2937	5160	4935	71	588	588	2192	2866	490	430	100	300	1114	1	1	196	273	141	172	2192	1	1
147	496	742	306	494	2829	3086	5460	5215	75	621	621	2311	3034	518	455	100	300	1158	1	1	207	289	149	182	2311	1	1
148	521	778	321	517	2962	3232	5760	5495	79	654	654	2427	3202	545	480	100	300	1202	1	1	218	305	157	192	2427	1	1
149	548	819	338	544	3111	3394	6090	5810	83	690	690	2558	3392	575	508	100	300	1246	1	1	230	323	166	203	2558	1	1
150	577	862	356	572	3275	3573	6420	6125	88	729	729	2693	3570	608	535	100	300	1290	1	1	243	340	175	214	2693	1	1
151	625	940	388	628	3613	3941	6750	6440	92	768	768	2911	3748	640	562	100	300	1336	1	1	256	357	184	225	2911	1	1
152	666	1004	415	672	3876	4229	7080	6755	96	804	804	3096	3938	670	590	100	300	1382	1	1	268	375	193	236	3096	1	1
153	712	1077	445	723	4185	4565	7440	7105	101	846	846	3307	4137	705	620	100	300	1428	1	1	282	394	203	248	3307	1	1
154	759	1153	477	776	4505	4915	7800	7455	106	888	888	3523	4336	740	650	100	300	1474	1	1	296	413	213	260	3523	1	1
155	808	1231	510	831	4835	5275	8160	7805	111	927	927	3747	4546	772	680	100	300	1520	1	1	309	433	223	272	3747	1	1
156	858	1311	543	888	5177	5648	8520	8155	116	969	969	3973	4746	808	710	100	300	1566	1	1	323	452	233	284	3973	1	1
157	915	1404	581	952	5572	6079	8910	8505	121	1014	1014	4235	4977	845	742	100	300	1612	1	1	338	474	243	297	4235	1	1
158	976	1503	623	1023	6006	6552	9330	8890	126	1059	1059	4509	5187	882	778	100	300	1658	1	1	353	494	254	311	4509	1	1
159	1033	1595	662	1089	6405	6987	9720	9275	131	1104	1104	4769	5408	920	810	100	300	1704	1	1	368	515	265	324	4769	1	1
160	1075	1659	688	1133	6661	7267	10110	9660	136	1149	1149	4961	5628	958	842	100	300	1750	1	1	383	536	276	337	4961	1	1
161	1124	1735	719	1184	6960	7593	10560	10080	143	1200	1200	5190	5901	1000	880	100	300	1812	1	1	400	562	288	352	5190	1	1
162	1186	1830	759	1249	7345	8013	11160	10675	150	1269	1269	5473	6216	1058	930	100	300	1874	1	1	423	592	305	372	5473	1	1
163	1263	1948	808	1329	7815	8525	11880	11340	160	1350	1350	5831	6636	1125	990	100	300	1937	1	1	450	632	324	396	5831	1	1
164	1352	2087	866	1424	8370	9132	12750	12180	172	1449	1449	6242	7098	1208	1062	100	300	1999	1	1	483	676	348	425	6242	1	1
165	1456	2247	932	1533	9011	9831	13740	13125	185	1560	1560	6724	7654	1300	1145	100	300	2062	1	1	520	729	375	458	6724	1	1
166	1575	2429	1007	1657	9737	10623	14850	14175	200	1689	1689	7270	8284	1408	1238	100	300	2124	1	1	563	789	405	495	7270	1	1
167	1706	2631	1092	1795	10549	11509	16110	15400	216	1830	1830	7877	8978	1525	1342	100	300	2186	1	1	610	855	440	537	7877	1	1
168	1855	2861	1187	1952	11469	12511	17550	16730	235	1992	1992	8565	9765	1660	1462	100	300	2249	1	1	664	930	478	585	8565	1	1
169	2022	3118	1293	2126	12494	13630	19110	18235	256	2172	2172	9337	10658	1810	1592	100	300	2311	1	1	724	1015	521	637	9337	1	1
170	2205	3400	1410	2319	13626	14864	20880	19915	279	2370	2370	10183	11624	1975	1740	100	300	2374	1	1	790	1107	569	696	10183	1	1
171	2396	3694	1532	2520	14801	16147	22680	21665	303	2577	2577	11063	12632	2148	1890	100	300	2458	1	1	859	1203	619	756	11063	1	1
172	2594	3999	1658	2727	16018	17474	24570	23450	328	2790	2790	11976	13682	2325	2048	100	300	2543	1	1	930	1303	670	819	11976	1	1
173	2794	4308	1787	2938	17257	18826	26490	25270	354	3009	3009	12903	14742	2508	2208	100	300	2627	1	1	1003	1404	722	883	12903	1	1
174	3006	4634	1922	3160	18561	20248	28500	27195	380	3237	3237	13881	15866	2698	2375	100	300	2712	1	1	1079	1511	777	950	13881	1	1
175	3231	4981	2066	3396	19949	21763	30630	29260	409	3480	3480	14922	17062	2900	2552	100	300	2797	1	1	1160	1625	836	1021	14922	1	1
176	3467	5344	2216	3644	21401	23347	32880	31395	438	3738	3738	16008	18302	3115	2740	100	300	2881	1	1	1246	1743	897	1096	16008	1	1
177	3713	5724	2374	3902	22919	25003	35220	33635	469	4002	4002	17147	19614	3335	2935	100	300	2966	1	1	1334	1868	961	1174	17147	1	1
178	3970	6119	2537	4171	24500	26727	37680	35945	502	4281	4281	18331	20968	3568	3140	100	300	3050	1	1	1427	1997	1027	1256	18331	1	1
179	4237	6530	2708	4452	26144	28521	40200	38395	536	4569	4569	19564	22386	3808	3350	100	300	3135	1	1	1523	2132	1097	1340	19564	1	1
180	4514	6957	2885	4743	27853	30385	42840	40915	570	4869	4869	20845	23856	4058	3570	100	300	3220	1	1	1623	2272	1169	1428	20845	1	1
181	4826	7437	3085	5070	29775	32483	45810	43750	610	5208	5208	22284	25504	4340	3818	100	300	3334	1	1	1736	2429	1250	1527	22284	1	1
182	5173	7972	3306	5434	31912	34813	49110	46900	654	5580	5580	23889	27352	4650	4092	100	300	3449	1	1	1860	2605	1340	1637	23889	1	1
183	5554	8559	3550	5834	34262	37377	52740	50365	702	5994	5994	25649	29368	4995	4395	100	300	3564	1	1	1998	2797	1439	1758	25649	1	1
184	5970	9200	3815	6271	36825	40173	56700	54145	754	6444	6444	27570	31574	5370	4725	100	300	3678	1	1	2148	3007	1547	1890	27570	1	1
185	6428	9905	4107	6751	39645	43249	61050	58275	812	6939	6939	29687	34010	5782	5088	100	300	3793	1	1	2313	3239	1665	2035	29687	1	1
186	6920	10663	4422	7268	42679	46558	65760	62755	874	7470	7470	31959	36614	6225	5480	100	300	3908	1	1	2490	3487	1793	2192	31959	1	1
187	7447	11475	4758	7821	45926	50101	70770	67550	941	8040	8040	34393	39406	6700	5898	100	300	4022	1	1	2680	3753	1930	2359	34393	1	1
188	8009	12340	5117	8411	49386	53876	76110	72660	1012	8649	8649	36985	42378	7208	6342	100	300	4137	1	1	2883	4036	2076	2537	36985	1	1
189	8598	13248	5494	9029	53018	57838	81720	78015	1086	9288	9288	39706	45496	7740	6810	100	300	4252	1	1	3096	4333	2229	2724	39706	1	1
190	9229	14220	5897	9692	56906	62079	87720	83755	1166	9969	9969	42622	48846	8308	7310	100	300	4367	1	1	3323	4652	2393	2924	42622	1	1
191	9916	15277	6335	10412	61136	66694	94260	89985	1252	10710	10710	45794	52490	8925	7855	100	300	4522	1	1	3570	4999	2571	3142	45794	1	1
192	10658	16420	6809	11191	65707	71680	101310	96705	1346	11514	11514	49222	56427	9595	8442	100	300	4678	1	1	3838	5374	2763	3377	49222	1	1
193	11462	17659	7323	12035	70663	77087	108990	104020	1447	12384	12384	52934	60680	10320	9082	100	300	4833	1	1	4128	5779	2972	3633	52934	1	1
194	12328	18994	7876	12945	76004	82913	117240	111895	1557	13320	13320	56938	65278	11100	9770	100	300	4989	1	1	4440	6217	3197	3908	56938	1	1
195	13258	20425	8470	13920	81729	89159	126060	120330	1674	14328	14328	61230	70203	11940	10505	100	300	5144	1	1	4776	6686	3438	4202	61230	1	1
196	14249	21952	9103	14961	87839	95824	135510	129360	1799	15399	15399	65808	75453	12832	11292	100	300	5300	1	1	5133	7186	3696	4517	65808	1	1
