ROWID	_KillScore|INTEGER	_AssistScore|INTEGER	_CriticalHitScore|INTEGER	_StunHitScore|INTEGER	_SuperAmmorBreakScore|INTEGER	_BrokenShieldScore|INTEGER	_GenocideScore|INTEGER	_AirComboScore|INTEGER	_ChainComboScore|INTEGER	_RescueScore|INTEGER	_ComboScore|INTEGER	_HitedScore|INTEGER	_CriticalHitedScore|INTEGER	_StunHitedScore|INTEGER	_DeathCountScore|INTEGER	_ProbBreak|INTEGER	_GetItem|INTEGER	_MapIndex|INTEGER	_ClassID|INTEGER
130	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10003	10
131	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10004	1
132	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10004	2
133	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10004	3
134	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10004	4
135	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10004	5
136	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10004	6
137	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10004	7
138	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10004	8
139	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10004	9
140	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10004	10
141	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10005	1
142	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10005	2
143	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10005	3
144	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10005	4
145	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10005	5
146	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10005	6
147	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10005	7
148	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10005	8
149	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10005	9
150	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10005	10
30001	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	0	1
