ROWID	_CharmItemID|INTEGER	_Key1|INTEGER	_Key2|INTEGER	_Key3|INTEGER	_Key4|INTEGER	_Key5|INTEGER	_Key1cost|INTEGER	_Key2cost|INTEGER	_Key3cost|INTEGER	_Key4cost|INTEGER	_Key5cost|INTEGER
218	536879975	536878984	0	0	0	0	1	0	0	0	0
219	536879976	536878984	0	0	0	0	1	0	0	0	0
220	536879977	536878984	0	0	0	0	1	0	0	0	0
221	536879978	536878984	0	0	0	0	1	0	0	0	0
222	536879979	536878984	0	0	0	0	1	0	0	0	0
223	536879980	536878984	0	0	0	0	1	0	0	0	0
224	536879981	536878984	0	0	0	0	1	0	0	0	0
225	536879982	536878984	0	0	0	0	1	0	0	0	0
226	536879983	536878984	0	0	0	0	1	0	0	0	0
227	536879984	536878984	0	0	0	0	1	0	0	0	0
228	536879985	536878984	0	0	0	0	1	0	0	0	0
229	536879986	536878984	0	0	0	0	1	0	0	0	0
230	536879987	536878984	0	0	0	0	1	0	0	0	0
231	536879988	536878984	0	0	0	0	1	0	0	0	0
232	536879989	536878984	0	0	0	0	1	0	0	0	0
233	536879990	536878984	0	0	0	0	1	0	0	0	0
234	536879991	536878984	0	0	0	0	1	0	0	0	0
235	536879992	536878984	0	0	0	0	1	0	0	0	0
236	536879993	536878984	0	0	0	0	1	0	0	0	0
237	536879994	536878984	0	0	0	0	1	0	0	0	0
238	536879995	536878984	0	0	0	0	1	0	0	0	0
239	536879996	536878984	0	0	0	0	1	0	0	0	0
240	536879997	536878984	0	0	0	0	1	0	0	0	0
241	536879998	536878984	0	0	0	0	1	0	0	0	0
242	536879999	536878984	0	0	0	0	1	0	0	0	0
243	536880000	536878984	0	0	0	0	1	0	0	0	0
244	536880001	536878984	0	0	0	0	1	0	0	0	0
245	536880002	536878984	0	0	0	0	1	0	0	0	0
246	536880003	536878984	0	0	0	0	1	0	0	0	0
247	536880004	536878984	0	0	0	0	1	0	0	0	0
248	536880005	536878984	0	0	0	0	1	0	0	0	0
249	536880006	536878984	0	0	0	0	1	0	0	0	0
250	536880007	536878984	0	0	0	0	1	0	0	0	0
251	536880008	536878984	0	0	0	0	1	0	0	0	0
252	536880009	536878984	0	0	0	0	1	0	0	0	0
253	536880010	536878984	0	0	0	0	1	0	0	0	0
254	536880011	536878984	0	0	0	0	1	0	0	0	0
255	536880012	536878984	0	0	0	0	1	0	0	0	0
256	536880013	536878984	0	0	0	0	1	0	0	0	0
257	1073911921	1073911927	0	0	0	0	1	0	0	0	0
258	536880644	536878984	0	0	0	0	1	0	0	0	0
259	1073912338	1073912339	0	0	0	0	1	0	0	0	0
276	1073912614	1073912615	0	0	0	0	1	0	0	0	0
277	1073913307	1073913308	0	0	0	0	1	0	0	0	0
278	536880647	536878984	0	0	0	0	1	0	0	0	0
279	536880904	536880952	0	0	0	0	1	0	0	0	0
280	536880853	536880952	0	0	0	0	1	0	0	0	0
281	536880908	536880952	0	0	0	0	1	0	0	0	0
282	536880909	536880952	0	0	0	0	1	0	0	0	0
283	536880910	536880952	0	0	0	0	1	0	0	0	0
284	536880911	536880952	0	0	0	0	1	0	0	0	0
285	536880912	536880952	0	0	0	0	1	0	0	0	0
286	536880913	536880952	0	0	0	0	1	0	0	0	0
287	536880914	536880952	0	0	0	0	1	0	0	0	0
288	536880915	536880952	0	0	0	0	1	0	0	0	0
289	536880916	536880952	0	0	0	0	1	0	0	0	0
290	536880917	536880952	0	0	0	0	1	0	0	0	0
291	536880918	536880952	0	0	0	0	1	0	0	0	0
292	536880919	536880952	0	0	0	0	1	0	0	0	0
293	536880920	536880952	0	0	0	0	1	0	0	0	0
294	536880921	536880952	0	0	0	0	1	0	0	0	0
295	536880922	536880952	0	0	0	0	1	0	0	0	0
296	536880923	536880952	0	0	0	0	1	0	0	0	0
297	536880924	536880952	0	0	0	0	1	0	0	0	0
298	536880925	536880952	0	0	0	0	1	0	0	0	0
299	536880926	536880952	0	0	0	0	1	0	0	0	0
300	536880927	536880952	0	0	0	0	1	0	0	0	0
301	536880928	536880952	0	0	0	0	1	0	0	0	0
302	536880929	536880952	0	0	0	0	1	0	0	0	0
303	536880930	536880952	0	0	0	0	1	0	0	0	0
304	536880931	536880952	0	0	0	0	1	0	0	0	0
305	536880932	536880952	0	0	0	0	1	0	0	0	0
306	536880933	536880952	0	0	0	0	1	0	0	0	0
307	536880934	536880952	0	0	0	0	1	0	0	0	0
308	536880935	536880952	0	0	0	0	1	0	0	0	0
309	536880936	536880952	0	0	0	0	1	0	0	0	0
310	536880937	536880952	0	0	0	0	1	0	0	0	0
311	536880938	536880952	0	0	0	0	1	0	0	0	0
312	536880939	536880952	0	0	0	0	1	0	0	0	0
313	536880940	536880952	0	0	0	0	1	0	0	0	0
314	536880941	536880952	0	0	0	0	1	0	0	0	0
315	536880942	536880952	0	0	0	0	1	0	0	0	0
316	536880943	536880952	0	0	0	0	1	0	0	0	0
317	536880944	536880952	0	0	0	0	1	0	0	0	0
318	536880945	536880952	0	0	0	0	1	0	0	0	0
319	536880946	536880952	0	0	0	0	1	0	0	0	0
320	536880947	536880952	0	0	0	0	1	0	0	0	0
321	536880948	536880952	0	0	0	0	1	0	0	0	0
322	536880949	536880952	0	0	0	0	1	0	0	0	0
323	536880950	536880952	0	0	0	0	1	0	0	0	0
324	536880951	536880952	0	0	0	0	1	0	0	0	0
391	536881357	536880952	0	0	0	0	1	0	0	0	0
392	536881358	536880952	0	0	0	0	1	0	0	0	0
325	536881006	536880952	0	0	0	0	1	0	0	0	0
326	536881007	536880952	0	0	0	0	1	0	0	0	0
327	536881008	536880952	0	0	0	0	1	0	0	0	0
328	536881009	536880952	0	0	0	0	1	0	0	0	0
329	536881010	536880952	0	0	0	0	1	0	0	0	0
330	536881011	536880952	0	0	0	0	1	0	0	0	0
331	536881012	536880952	0	0	0	0	1	0	0	0	0
332	536881013	536880952	0	0	0	0	1	0	0	0	0
333	536881014	536880952	0	0	0	0	1	0	0	0	0
334	536881015	536880952	0	0	0	0	1	0	0	0	0
335	536881016	536880952	0	0	0	0	1	0	0	0	0
336	536881017	536880952	0	0	0	0	1	0	0	0	0
337	536881018	536880952	0	0	0	0	1	0	0	0	0
338	536881019	536880952	0	0	0	0	1	0	0	0	0
339	536881020	536880952	0	0	0	0	1	0	0	0	0
340	536881021	536880952	0	0	0	0	1	0	0	0	0
341	536881022	536880952	0	0	0	0	1	0	0	0	0
342	536881023	536880952	0	0	0	0	1	0	0	0	0
343	536881024	536880952	0	0	0	0	1	0	0	0	0
344	536881025	536880952	0	0	0	0	1	0	0	0	0
345	536881026	536880952	0	0	0	0	1	0	0	0	0
346	536881027	536880952	0	0	0	0	1	0	0	0	0
347	536881028	536880952	0	0	0	0	1	0	0	0	0
348	536881029	536880952	0	0	0	0	1	0	0	0	0
349	536881030	536880952	0	0	0	0	1	0	0	0	0
350	536881031	536880952	0	0	0	0	1	0	0	0	0
351	536881032	536880952	0	0	0	0	1	0	0	0	0
352	536881033	536880952	0	0	0	0	1	0	0	0	0
353	536881034	536880952	0	0	0	0	1	0	0	0	0
354	536881035	536880952	0	0	0	0	1	0	0	0	0
355	536881036	536880952	0	0	0	0	1	0	0	0	0
356	536881037	536880952	0	0	0	0	1	0	0	0	0
357	536881038	536880952	0	0	0	0	1	0	0	0	0
358	536881039	536880952	0	0	0	0	1	0	0	0	0
359	536881040	536880952	0	0	0	0	1	0	0	0	0
360	536881041	536880952	0	0	0	0	1	0	0	0	0
361	536881042	536880952	0	0	0	0	1	0	0	0	0
362	536881043	536880952	0	0	0	0	1	0	0	0	0
363	536881044	536880952	0	0	0	0	1	0	0	0	0
364	536881045	536880952	0	0	0	0	1	0	0	0	0
365	536881046	536880952	0	0	0	0	1	0	0	0	0
366	536881047	536880952	0	0	0	0	1	0	0	0	0
367	536881048	536880952	0	0	0	0	1	0	0	0	0
368	536881049	536880952	0	0	0	0	1	0	0	0	0
393	536881359	536880952	0	0	0	0	1	0	0	0	0
394	536881360	536880952	0	0	0	0	1	0	0	0	0
395	536881151	536878984	0	0	0	0	1	0	0	0	0
396	536881152	536878984	0	0	0	0	1	0	0	0	0
397	536881157	536878984	0	0	0	0	1	0	0	0	0
398	536881158	536878984	0	0	0	0	1	0	0	0	0
399	536881264	536880952	0	0	0	0	1	0	0	0	0
369	1073914978	1073914979	0	0	0	0	1	0	0	0	0
400	1073917522	1073917523	0	0	0	0	1	0	0	0	0
405	1073918349	1073918350	0	0	0	0	1	0	0	0	0
406	1073918950	1073918951	0	0	0	0	1	0	0	0	0
407	536881934	536878984	0	0	0	0	1	0	0	0	0
408	1073919531	1073919532	0	0	0	0	1	0	0	0	0
409	1073920371	1073920372	0	0	0	0	1	0	0	0	0
410	1073920697	1073888725	1073888728	0	0	0	1	1	0	0	0
411	1073920698	1073888725	1073888728	0	0	0	1	1	0	0	0
412	1073920699	1073888725	1073888728	0	0	0	1	1	0	0	0
413	1073920700	1073888725	1073888728	0	0	0	1	1	0	0	0
414	1073920701	1073888725	1073888728	0	0	0	1	1	0	0	0
415	1073920702	1073888725	1073888728	0	0	0	1	1	0	0	0
416	1073920703	1073888725	1073888728	0	0	0	1	1	0	0	0
417	1073920704	1073888725	1073888728	0	0	0	1	1	0	0	0
418	1073920705	1073888725	1073888728	0	0	0	1	1	0	0	0
419	1073920706	1073888725	1073888728	0	0	0	1	1	0	0	0
428	536882970	536878984	0	0	0	0	1	0	0	0	0
429	536882971	536878984	0	0	0	0	1	0	0	0	0
430	536883074	536880952	0	0	0	0	1	0	0	0	0
431	536883075	536880952	0	0	0	0	1	0	0	0	0
432	536883076	536880952	0	0	0	0	1	0	0	0	0
433	536883077	536880952	0	0	0	0	1	0	0	0	0
434	536882972	536878984	0	0	0	0	1	0	0	0	0
435	536882973	536878984	0	0	0	0	1	0	0	0	0
436	536883234	536878079	536881910	0	0	0	1	1	0	0	0
