ROWID	_SetItem01|INTEGER	_SetItem02|INTEGER	_SetItem03|INTEGER	_SetItem04|INTEGER	_SetItem05|INTEGER	_SetItem06|INTEGER	_SetItem07|INTEGER	_SetItem08|INTEGER	_SetItem09|INTEGER	_SetItem10|INTEGER	_SetItem11|INTEGER	_SetItem12|INTEGER	_SetItem13|INTEGER	_SetItem14|INTEGER	_SetItem15|INTEGER	_GachaNum|INTEGER	_SetName|INTEGER	_Grade|INTEGER
69	1354764557	1355288845	1355813133	1356337421	1356861709	0	0	0	0	0	0	0	0	0	0	2	1000010579	1
70	1354762753	1355287041	1355811329	1356335617	1356859905	0	0	0	0	0	0	0	0	0	0	2	1000009793	2
71	1358958593	1359482881	1360007169	1360531457	1361055745	0	0	0	0	0	0	0	0	0	0	2	1000010580	0
72	1358958599	1359482887	1360007175	1360531463	1361055751	0	0	0	0	0	0	0	0	0	0	2	1000010581	0
73	1358958605	1359482893	1360007181	1360531469	1361055757	0	0	0	0	0	0	0	0	0	0	2	1000010582	0
74	1358958611	1359482899	1360007187	1360531475	1361055763	0	0	0	0	0	0	0	0	0	0	2	1000010583	0
75	1358958617	1359482905	1360007193	1360531481	1361055769	0	0	0	0	0	0	0	0	0	0	2	1000010584	0
76	1358958623	1359482911	1360007199	1360531487	1361055775	0	0	0	0	0	0	0	0	0	0	2	1000010585	0
77	1358958849	1359483137	1360007425	1360531713	1361056001	0	0	0	0	0	0	0	0	0	0	2	1000010586	1
78	1358958855	1359483143	1360007431	1360531719	1361056007	0	0	0	0	0	0	0	0	0	0	2	1000010587	1
79	1358958861	1359483149	1360007437	1360531725	1361056013	0	0	0	0	0	0	0	0	0	0	2	1000010588	1
80	1358957057	1359481345	1360005633	1360529921	1361054209	0	0	0	0	0	0	0	0	0	0	2	1000009803	2
81	1346377729	1346902017	1347426305	1347950593	1348474881	0	0	0	0	0	0	0	0	0	0	3	1000015260	0
82	1346377735	1346902023	1347426311	1347950599	1348474887	0	0	0	0	0	0	0	0	0	0	3	1000015261	0
83	1346377741	1346902029	1347426317	1347950605	1348474893	0	0	0	0	0	0	0	0	0	0	3	1000015262	0
84	1346377747	1346902035	1347426323	1347950611	1348474899	0	0	0	0	0	0	0	0	0	0	3	1000015263	0
85	1346377753	1346902041	1347426329	1347950617	1348474905	0	0	0	0	0	0	0	0	0	0	3	1000015264	0
86	1346377759	1346902047	1347426335	1347950623	1348474911	0	0	0	0	0	0	0	0	0	0	3	1000015265	0
87	1346377985	1346902273	1347426561	1347950849	1348475137	0	0	0	0	0	0	0	0	0	0	3	1000015266	1
88	1346377991	1346902279	1347426567	1347950855	1348475143	0	0	0	0	0	0	0	0	0	0	3	1000015267	1
89	1346377997	1346902285	1347426573	1347950861	1348475149	0	0	0	0	0	0	0	0	0	0	3	1000015268	1
90	1346374145	1346898433	1347422721	1347947009	1348471297	0	0	0	0	0	0	0	0	0	0	3	1000009773	2
91	1350572033	1351096321	1351620609	1352144897	1352669185	0	0	0	0	0	0	0	0	0	0	3	1000015269	0
92	1350572039	1351096327	1351620615	1352144903	1352669191	0	0	0	0	0	0	0	0	0	0	3	1000015270	0
93	1350572045	1351096333	1351620621	1352144909	1352669197	0	0	0	0	0	0	0	0	0	0	3	1000015271	0
94	1350572051	1351096339	1351620627	1352144915	1352669203	0	0	0	0	0	0	0	0	0	0	3	1000015272	0
95	1350572057	1351096345	1351620633	1352144921	1352669209	0	0	0	0	0	0	0	0	0	0	3	1000015273	0
96	1350572063	1351096351	1351620639	1352144927	1352669215	0	0	0	0	0	0	0	0	0	0	3	1000015274	0
97	1350572289	1351096577	1351620865	1352145153	1352669441	0	0	0	0	0	0	0	0	0	0	3	1000015275	1
98	1350572295	1351096583	1351620871	1352145159	1352669447	0	0	0	0	0	0	0	0	0	0	3	1000015276	1
99	1350572301	1351096589	1351620877	1352145165	1352669453	0	0	0	0	0	0	0	0	0	0	3	1000015277	1
100	1350568449	1351092737	1351617025	1352141313	1352665601	0	0	0	0	0	0	0	0	0	0	3	1000009783	2
101	1354766337	1355290625	1355814913	1356339201	1356863489	0	0	0	0	0	0	0	0	0	0	3	1000015278	0
102	1354766343	1355290631	1355814919	1356339207	1356863495	0	0	0	0	0	0	0	0	0	0	3	1000015279	0
103	1354766349	1355290637	1355814925	1356339213	1356863501	0	0	0	0	0	0	0	0	0	0	3	1000015280	0
104	1354766355	1355290643	1355814931	1356339219	1356863507	0	0	0	0	0	0	0	0	0	0	3	1000015281	0
105	1354766361	1355290649	1355814937	1356339225	1356863513	0	0	0	0	0	0	0	0	0	0	3	1000015282	0
106	1354766367	1355290655	1355814943	1356339231	1356863519	0	0	0	0	0	0	0	0	0	0	3	1000015283	0
107	1354766593	1355290881	1355815169	1356339457	1356863745	0	0	0	0	0	0	0	0	0	0	3	1000015284	1
108	1354766599	1355290887	1355815175	1356339463	1356863751	0	0	0	0	0	0	0	0	0	0	3	1000015285	1
109	1354766605	1355290893	1355815181	1356339469	1356863757	0	0	0	0	0	0	0	0	0	0	3	1000015286	1
110	1354762753	1355287041	1355811329	1356335617	1356859905	0	0	0	0	0	0	0	0	0	0	3	1000009793	2
111	1358960641	1359484929	1360009217	1360533505	1361057793	0	0	0	0	0	0	0	0	0	0	3	1000015287	0
112	1358960647	1359484935	1360009223	1360533511	1361057799	0	0	0	0	0	0	0	0	0	0	3	1000015288	0
113	1358960653	1359484941	1360009229	1360533517	1361057805	0	0	0	0	0	0	0	0	0	0	3	1000015289	0
114	1358960659	1359484947	1360009235	1360533523	1361057811	0	0	0	0	0	0	0	0	0	0	3	1000015290	0
115	1358960665	1359484953	1360009241	1360533529	1361057817	0	0	0	0	0	0	0	0	0	0	3	1000015291	0
116	1358960671	1359484959	1360009247	1360533535	1361057823	0	0	0	0	0	0	0	0	0	0	3	1000015292	0
117	1358960897	1359485185	1360009473	1360533761	1361058049	0	0	0	0	0	0	0	0	0	0	3	1000015293	1
118	1358960903	1359485191	1360009479	1360533767	1361058055	0	0	0	0	0	0	0	0	0	0	3	1000015294	1
119	1358960909	1359485197	1360009485	1360533773	1361058061	0	0	0	0	0	0	0	0	0	0	3	1000015295	1
120	1358957057	1359481345	1360005633	1360529921	1361054209	0	0	0	0	0	0	0	0	0	0	3	1000009803	2
121	1346379777	1346904065	1347428353	1347952641	1348476929	0	0	0	0	0	0	0	0	0	0	4	1000017876	0
122	1346379783	1346904071	1347428359	1347952647	1348476935	0	0	0	0	0	0	0	0	0	0	4	1000017877	0
123	1346379789	1346904077	1347428365	1347952653	1348476941	0	0	0	0	0	0	0	0	0	0	4	1000017878	0
124	1346379795	1346904083	1347428371	1347952659	1348476947	0	0	0	0	0	0	0	0	0	0	4	1000017879	0
125	1346379801	1346904089	1347428377	1347952665	1348476953	0	0	0	0	0	0	0	0	0	0	4	1000017880	0
126	1346379807	1346904095	1347428383	1347952671	1348476959	0	0	0	0	0	0	0	0	0	0	4	1000017881	0
127	1346380033	1346904321	1347428609	1347952897	1348477185	0	0	0	0	0	0	0	0	0	0	4	1000017882	1
128	1346380039	1346904327	1347428615	1347952903	1348477191	0	0	0	0	0	0	0	0	0	0	4	1000017883	1
129	1346380045	1346904333	1347428621	1347952909	1348477197	0	0	0	0	0	0	0	0	0	0	4	1000017884	1
130	1346380289	1346904577	1347428865	1347953153	1348477441	0	0	0	0	0	0	0	0	0	0	4	1000017885	2
131	1350574081	1351098369	1351622657	1352146945	1352671233	0	0	0	0	0	0	0	0	0	0	4	1000017886	0
132	1350574087	1351098375	1351622663	1352146951	1352671239	0	0	0	0	0	0	0	0	0	0	4	1000017887	0
133	1350574093	1351098381	1351622669	1352146957	1352671245	0	0	0	0	0	0	0	0	0	0	4	1000017888	0
134	1350574099	1351098387	1351622675	1352146963	1352671251	0	0	0	0	0	0	0	0	0	0	4	1000017889	0
135	1350574105	1351098393	1351622681	1352146969	1352671257	0	0	0	0	0	0	0	0	0	0	4	1000017890	0
136	1350574111	1351098399	1351622687	1352146975	1352671263	0	0	0	0	0	0	0	0	0	0	4	1000017891	0
137	1350574337	1351098625	1351622913	1352147201	1352671489	0	0	0	0	0	0	0	0	0	0	4	1000017892	1
138	1350574343	1351098631	1351622919	1352147207	1352671495	0	0	0	0	0	0	0	0	0	0	4	1000017893	1
139	1350574349	1351098637	1351622925	1352147213	1352671501	0	0	0	0	0	0	0	0	0	0	4	1000017894	1
140	1350574593	1351098881	1351623169	1352147457	1352671745	0	0	0	0	0	0	0	0	0	0	4	1000017895	2
141	1354768385	1355292673	1355816961	1356341249	1356865537	0	0	0	0	0	0	0	0	0	0	4	1000017896	0
142	1354768391	1355292679	1355816967	1356341255	1356865543	0	0	0	0	0	0	0	0	0	0	4	1000017897	0
143	1354768397	1355292685	1355816973	1356341261	1356865549	0	0	0	0	0	0	0	0	0	0	4	1000017898	0
144	1354768403	1355292691	1355816979	1356341267	1356865555	0	0	0	0	0	0	0	0	0	0	4	1000017899	0
145	1354768409	1355292697	1355816985	1356341273	1356865561	0	0	0	0	0	0	0	0	0	0	4	1000017900	0
146	1354768415	1355292703	1355816991	1356341279	1356865567	0	0	0	0	0	0	0	0	0	0	4	1000017901	0
147	1354768641	1355292929	1355817217	1356341505	1356865793	0	0	0	0	0	0	0	0	0	0	4	1000017902	1
148	1354768647	1355292935	1355817223	1356341511	1356865799	0	0	0	0	0	0	0	0	0	0	4	1000017903	1
149	1354768653	1355292941	1355817229	1356341517	1356865805	0	0	0	0	0	0	0	0	0	0	4	1000017904	1
150	1354768897	1355293185	1355817473	1356341761	1356866049	0	0	0	0	0	0	0	0	0	0	4	1000017905	2
151	1358962689	1359486977	1360011265	1360535553	1361059841	0	0	0	0	0	0	0	0	0	0	4	1000017906	0
152	1358962695	1359486983	1360011271	1360535559	1361059847	0	0	0	0	0	0	0	0	0	0	4	1000017907	0
153	1358962701	1359486989	1360011277	1360535565	1361059853	0	0	0	0	0	0	0	0	0	0	4	1000017908	0
154	1358962707	1359486995	1360011283	1360535571	1361059859	0	0	0	0	0	0	0	0	0	0	4	1000017909	0
155	1358962713	1359487001	1360011289	1360535577	1361059865	0	0	0	0	0	0	0	0	0	0	4	1000017910	0
156	1358962719	1359487007	1360011295	1360535583	1361059871	0	0	0	0	0	0	0	0	0	0	4	1000017911	0
157	1358962945	1359487233	1360011521	1360535809	1361060097	0	0	0	0	0	0	0	0	0	0	4	1000017912	1
158	1358962951	1359487239	1360011527	1360535815	1361060103	0	0	0	0	0	0	0	0	0	0	4	1000017913	1
159	1358962957	1359487245	1360011533	1360535821	1361060109	0	0	0	0	0	0	0	0	0	0	4	1000017914	1
160	1358963201	1359487489	1360011777	1360536065	1361060353	0	0	0	0	0	0	0	0	0	0	4	1000017915	2
