ROWID	_ApplicableValue|INTEGER	_PotentialNo|INTEGER	_IsErasable|BOOLEAN	_CanApplySealedItem|BOOLEAN	_Issuffix|BOOLEAN	_Charge|INTEGER	_PopupType|INTEGER
268435918	7603203	5	false	true	false	2900000	0
268435919	7604227	5	false	true	false	2900000	0
268435920	7606275	5	false	true	false	2900000	0
268435921	7610371	5	false	true	false	2900000	0
268435922	8126467	5	false	true	false	2900000	0
268439567	24379395	5	false	true	false	2900000	0
268435923	58474368	5	false	true	false	3400000	0
268435924	58720255	0	true	true	false	0	1
268435538	18431103	0	false	true	true	80000	1
268435539	18562175	0	false	true	true	150000	1
268435540	20528255	0	false	true	true	300000	1
268435541	20659327	0	false	true	true	600000	1
268435542	58276991	0	false	true	true	600000	1
268435543	58408063	0	false	true	true	1200000	1
268435925	20921471	0	false	true	true	1450000	1
268435926	58670207	0	false	true	true	2900000	1
268435927	29310079	0	false	true	true	6750000	1
268435928	67058815	0	false	true	true	13500000	1
268442022	18496636	4	false	true	false	100000	0
268442023	18496515	4	false	true	false	150000	0
268442024	20593788	4	false	true	false	400000	0
268442025	20593667	4	false	true	false	600000	0
268442026	24788092	4	false	true	false	800000	0
268442027	24787971	4	false	true	false	1200000	0
268442028	28851324	6	false	true	false	4650000	0
268442035	28851203	6	false	true	false	6750000	0
268442029	66600060	6	false	true	false	9300000	0
268442030	66599939	6	false	true	false	13500000	0
268442031	20724860	5	false	true	false	1000000	0
268442032	20724739	5	false	true	false	1450000	0
268442033	58473596	5	false	true	false	2000000	0
268442034	58473475	5	false	true	false	2900000	0
