ROWID	_Activate|INTEGER	_CheckGroup|BOOLEAN	_Group|INTEGER	_Sequence|INTEGER	_MinLevel|INTEGER	_MaxLevel|INTEGER	_CheckMapID|INTEGER	_CheckMissionID|INTEGER	_Probabillity|INTEGER	_Grade|INTEGER	_StampIMG|INTEGER	_Orderer|INTEGER	_TitleNameID|INTEGER	_TitleNameIDParam|TEXT	_SubTitleNameID|INTEGER	_SubTitleNameIDParam|TEXT	_RequestType|INTEGER	_AchieveEvent|INTEGER	_Achieve1Type|INTEGER	_Achieve1Param|INTEGER	_Achieve1Operator|INTEGER	_Achieve2Type|INTEGER	_Achieve2Param|INTEGER	_Achieve2Operator|INTEGER	_Achieve3Type|INTEGER	_Achieve3Param|INTEGER	_Achieve3Operator|INTEGER	_Achieve4Type|INTEGER	_Achieve4Param|INTEGER	_Achieve4Operator|INTEGER	_Achieve5Type|INTEGER	_Achieve5Param|INTEGER	_Achieve5Operator|INTEGER	_AchieveCheckType|BOOLEAN	_AchieveCounterParam|INTEGER	_LimitType|INTEGER	_GoalID|INTEGER	_GoalIDParam|TEXT
11	1	false	0	0	95	95	0	0	1000	2	4	1000172338	1000173273	{10287}	1000172340	{10287}	3	63	20	5640	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138088	0
12	1	false	0	0	95	95	0	0	1000	2	4	1000172338	1000173273	{10062}	1000172340	{10062}	3	63	20	5641	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000165731	0
13	0	false	0	0	95	95	0	0	0	20	0	1000000365	2419		1000032170	1	1	36	28	1	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
14	0	false	0	0	95	95	0	0	0	20	1	1000068834	1000032171	1	1000032217	1	1	37	34	1	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
15	0	false	0	0	95	95	0	0	0	20	2	1000041809	1000017207		1000032246	0	1	47	39	1	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
16	0	false	0	0	95	95	0	0	0	20	3	1000000365	1000017206		1000017206	0	1	45	1	93	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
17	0	false	0	0	40	95	0	0	0	20	4	1000068834	1000085137		1000085146	0	1	32	11	78041	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
18	0	false	0	0	95	95	0	0	0	20	5	1000041809	1000085886	{1000085885}	1000032223	{1000085885}	1	13	20	4279	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
19	0	false	0	0	95	95	0	0	0	20	0	1000000365	8951		2020027	0	1	52	49	5	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
20	0	false	0	0	95	95	0	0	0	20	1	1000068834	8951		2020027	0	1	53	50	5	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
21	0	false	0	0	95	95	0	0	0	20	2	1000041809	1000125941		1000166700	{10348}	1	3	3	19002	0	3	19202	0	0	0	0	0	0	0	0	0	0	true	3	0	1000137991	0
22	0	false	0	0	40	95	0	0	0	20	3	1000000380	1000109964		1000056548	{1000109741}	1	73	84	10318	0	0	0	0	0	0	0	0	0	0	0	0	0	false	2	0	1000137991	0
23	0	false	0	0	95	95	0	0	0	20	1	1000013614	1000115398		1000032187	{1000032186}	1	24	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
24	0	false	0	0	95	95	0	0	0	20	5	1000013614	1000115399		1000032187	{1000032188}	1	24	33	3	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
25	0	false	0	0	40	95	0	0	0	20	0	1000013614	1000115400		1000032187	{1000032189}	1	24	33	4	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
26	0	false	0	0	40	95	0	0	0	20	1	1000103963	1000109647		1000109656	{9766},{100019124}	1	2	3	13622	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
27	0	false	0	0	40	95	0	0	0	20	2	1000103963	1000061535		1000109966	{2230},{2291}	1	6	51	38	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
28	0	false	0	0	40	95	0	0	0	20	3	1000103963	1000109648		1000109661	{8541}	1	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
29	0	false	0	0	40	95	0	0	0	20	4	1000108404	1000109619		1000050511	{10330},{1000108404}	1	63	20	4752	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
30	0	false	0	0	40	95	0	0	0	20	1	1000000365	1000006277	5	1000006277	5	1	19	22	5	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
31	0	false	0	0	95	95	0	0	0	20	2	1000068834	1000102549	3	1000102549	3	1	14	101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	3	0	1000137991	0
32	0	false	0	0	95	95	0	0	0	20	3	1000041809	1000017210		1000137431	0	1	3	42	1	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
33	0	false	0	0	95	95	0	0	0	20	2	1000073827	1000017216		1000137432	0	1	3	43	1	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
34	0	false	0	0	95	95	0	0	0	20	2	1000073827	1000017216		1000032185	10	1	9	18	10	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
35	0	false	0	0	95	95	0	0	0	20	20	1000073827	1000017216		1000137524	1	1	24	33	2	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
36	0	false	0	0	95	95	0	0	0	20	20	1000073827	1000017216		1000137524	2	1	24	33	3	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
37	0	false	0	0	95	95	0	0	0	20	2	1000073827	1000017216		1000137524	3	1	24	33	4	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
38	0	false	0	0	95	95	0	0	0	20	2	1000073827	1000017216		1000137524	3	1	24	33	4	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
39	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148179		1000148203	0	1	3	3	53	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137991	0
40	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148180		1000148204	0	1	3	3	58	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137992	0
41	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148181		1000148205	0	1	3	3	64	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137993	0
42	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148182		1000148206	0	1	3	3	68	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137994	0
43	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148183		1000148207	0	1	3	3	73	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137995	0
44	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148184		1000148208	0	1	3	3	83	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137996	0
45	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148185		1000148209	0	1	3	3	88	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137997	0
46	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148186		1000148210	0	1	3	3	93	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137998	0
47	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148187		1000148211	0	1	3	3	98	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137999	0
48	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148188		1000148212	0	1	3	3	103	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138000	0
49	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148189		1000148213	0	1	3	3	114	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138001	0
50	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148190		1000148214	0	1	3	3	119	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138002	0
51	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148191		1000148215	0	1	3	3	124	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138003	0
52	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148192		1000148216	0	1	3	3	129	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138004	0
53	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148193		1000148217	0	1	3	3	134	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138005	0
54	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148194		1000148218	0	1	3	3	139	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138006	0
55	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148195		1000148219	0	1	3	3	144	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138007	0
56	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148196		1000148220	0	1	3	3	149	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138008	0
57	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148197		1000148221	0	1	3	3	154	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138009	0
58	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148198		1000148222	0	1	3	3	164	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138010	0
59	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148199		1000148223	0	1	3	3	174	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138011	0
60	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148200		1000148224	0	1	3	3	244	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138012	0
61	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148201		1000148225	0	1	3	3	254	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138013	0
62	0	false	0	0	95	95	0	0	0	20	0	1000003507	1000148202		1000148226	0	1	3	3	264	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138014	0
63	1	false	0	0	95	95	0	0	5700	0	0	1000003215	1000145559		1000147508	0	1	3	3	274	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138015	0
64	1	false	0	0	95	95	0	0	5700	0	0	1000146132	1000146186		1000147509	0	1	3	3	284	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138016	0
65	1	false	0	0	95	95	0	0	5700	0	0	1000146133	1000146187		1000146422	0	1	3	3	294	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138017	0
66	1	false	0	0	95	95	0	0	10688	0	0	1000023867	1000146188		1000147510	0	1	3	3	301	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138018	0
67	1	false	0	0	95	95	0	0	5700	0	0	1000146134	1000146189		1000146987	0	1	3	3	314	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138019	0
68	1	false	0	0	95	95	0	0	10688	0	0	1000146135	1000146190		1000147511	0	1	3	3	324	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138020	0
69	1	false	0	0	95	95	0	0	10688	0	0	1000146133	1000146191		1000147512	0	1	3	3	331	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138021	0
70	1	false	0	0	95	95	0	0	10688	0	0	1000146135	1000146192		1000147513	0	1	3	3	344	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138022	0
71	1	false	0	0	95	95	0	0	5700	0	0	1000146133	1000146193		1000147514	0	1	3	3	354	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138023	0
72	1	false	0	0	95	95	0	0	5700	0	0	1000146135	1000146194		1000147515	0	1	3	3	364	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138024	0
73	1	false	0	0	95	95	0	0	5700	0	0	1000146136	1000146195		1000147516	0	1	3	3	384	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138025	0
74	1	false	0	0	95	95	0	0	10688	0	0	1000146137	1000146189		1000146747	0	1	3	3	393	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138026	0
75	1	false	0	0	95	95	0	0	5700	0	0	1000146133	1000146196		1000147517	0	1	3	3	404	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138027	0
76	1	false	0	0	95	95	0	0	5700	0	0	1000146133	1000146197		1000147518	0	1	3	3	413	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138028	0
77	1	false	0	0	95	95	0	0	5700	0	0	1000146138	1000146198		1000146750	0	1	3	3	424	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138029	0
78	1	false	0	0	95	95	0	0	5700	0	0	1000146135	1000146199		1000147519	0	1	3	3	432	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138030	0
79	1	false	0	0	95	95	0	0	5700	0	0	1000146139	1000146189		1000148449	0	1	3	3	444	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138031	0
80	1	false	0	0	95	95	0	0	5700	0	0	1000146133	1000146200		1000147520	0	1	3	3	453	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138032	0
81	1	false	0	0	95	95	0	0	10688	0	0	1000146140	1000146201		1000146754	0	1	3	3	463	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138033	0
82	1	false	0	0	95	95	0	0	10688	0	0	1000146141	1000146202		1000147521	0	1	3	3	474	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138034	0
83	1	false	0	0	95	95	0	0	3100	0	0	1000146132	1000146203		1000147522	0	1	3	3	511	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138035	0
84	1	false	0	0	95	95	0	0	3100	0	0	1000146142	1000146204		1000147523	0	1	3	3	523	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138036	0
85	1	false	0	0	95	95	0	0	3100	0	0	1000146143	1000137942		1000147524	0	1	3	3	542	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138037	0
86	1	false	0	0	95	95	0	0	3100	0	0	1000020711	1000146205		1000146759	0	1	3	3	553	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138038	0
87	1	false	0	0	95	95	0	0	3100	0	0	1000020711	1000146205		1000147525	0	1	3	3	563	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138039	0
88	1	false	0	0	95	95	0	0	3100	0	0	1000146144	1000146206		1000146761	0	1	3	3	572	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138040	0
89	1	false	0	0	95	95	0	0	3100	0	0	1000146145	1000146207		1000147526	0	1	3	3	582	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138041	0
90	1	false	0	0	95	95	0	0	3100	0	0	1000146146	1000146208		1000146989	0	1	3	3	591	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138042	0
91	1	false	0	0	95	95	0	0	3100	0	0	1000146147	1000146209		1000146764	0	1	3	3	601	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138043	0
92	1	false	0	0	95	95	0	0	3100	0	0	1000146146	1000146210		1000146765	0	1	3	3	612	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138044	0
93	1	false	0	0	95	95	0	0	3100	0	0	1000146148	1000146211		1000146766	0	1	3	3	622	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138045	0
94	1	false	0	0	95	95	0	0	3100	0	0	1000146138	1000146212		1000146767	0	1	3	3	632	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138046	0
95	1	false	0	0	95	95	0	0	3100	0	0	1000146138	1000146213		1000147527	0	1	3	3	641	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138047	0
96	1	false	0	0	95	95	0	0	3100	0	0	1000146142	1000146214		1000147528	0	1	3	3	651	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138048	0
97	1	false	0	0	95	95	0	0	3100	0	0	1000146135	1000146215		1000147529	0	1	3	3	662	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138049	0
98	1	false	0	0	95	95	0	0	3100	0	0	1000146138	1000146216		1000147530	0	1	3	3	671	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138050	0
99	1	false	0	0	95	95	0	0	3100	0	0	1000146149	1000146217		1000146772	0	1	3	3	681	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138051	0
100	1	false	0	0	95	95	0	0	3100	0	0	1000146144	1000146218		1000146773	0	1	3	3	691	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138052	0
101	1	false	0	0	95	95	0	0	3100	0	0	1000146146	1000146219		1000147531	0	1	3	3	700	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138053	0
102	1	false	0	0	95	95	0	0	3100	0	0	1000146150	1000146220		1000147532	0	1	3	3	710	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138054	0
103	1	false	0	0	95	95	0	0	3100	0	0	1000146151	1000146221		1000147533	0	1	3	3	721	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138055	0
104	1	false	0	0	95	95	0	0	3100	0	0	1000146146	1000146222		1000146777	0	1	3	3	731	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138056	0
105	1	false	0	0	95	95	0	0	3100	0	0	1000146152	1000146223		1000146990	0	1	3	3	741	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138057	0
106	1	false	0	0	95	95	0	0	3100	0	0	1000146153	1000146224		1000146991	0	1	3	3	751	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138058	0
107	1	false	0	0	95	95	0	0	3922	0	0	1000146154	1000146225		1000147534	0	1	3	3	761	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138059	0
108	1	false	0	0	95	95	0	0	3922	0	0	1000146144	1000146226		1000146781	0	1	3	3	771	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138060	0
109	1	false	0	0	95	95	0	0	3922	0	0	1000056984	1000146227		1000147535	0	1	3	3	781	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138061	0
110	1	false	0	0	95	95	0	0	3922	0	0	1000146132	1000146228		1000148003	0	1	3	3	792	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138062	0
111	1	false	0	0	95	95	0	0	3922	0	0	1000146144	1000146229		1000146784	0	1	3	3	801	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138063	0
112	1	false	0	0	95	95	0	0	3922	0	0	1000146155	1000146230		1000147536	0	1	3	3	871	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138064	0
113	1	false	0	0	95	95	0	0	3922	0	0	1000146156	1000146231		1000147537	0	1	3	3	882	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138065	0
114	1	false	0	0	95	95	0	0	3922	0	0	1000146157	1000146232		1000146787	0	1	3	3	892	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138066	0
115	1	false	0	0	95	95	0	0	3922	0	0	1000146153	1000146233		1000147538	0	1	3	3	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138067	0
116	1	false	0	0	95	95	0	0	3922	0	0	1000146144	1000146234		1000146994	0	1	3	3	1011	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138068	0
117	1	false	0	0	95	95	0	0	3922	0	0	1000146158	1000146235		1000147539	0	1	3	3	1021	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138069	0
118	1	false	0	0	95	95	0	0	3922	0	0	1000000439	1000146236		1000146791	0	1	3	3	1031	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138070	0
119	1	false	0	0	95	95	0	0	3922	0	0	1000146132	1000146237		1000148450	0	1	3	3	1041	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138071	0
120	1	false	0	0	95	95	0	0	3922	0	0	1000146159	1000146238		1000146793	0	1	3	3	1051	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138072	0
121	1	false	0	0	95	95	0	0	3922	0	0	1000146160	1000146239		1000146794	0	1	3	3	1061	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138073	0
122	1	false	0	0	95	95	0	0	3922	0	0	1000146161	1000146240		1000146795	0	1	3	3	1072	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138074	0
123	1	false	0	0	95	95	0	0	3922	0	0	1000146162	1000146241		1000146995	0	1	3	3	1078	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138075	0
124	1	false	0	0	95	95	0	0	3922	0	0	1000146163	1000146242		1000147541	0	1	3	3	1079	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138076	0
125	1	false	0	0	95	95	0	0	3922	0	0	1000146163	1000146243		1000146798	0	1	3	3	1080	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138077	0
126	1	false	0	0	95	95	0	0	7440	0	0	1000091747	1000146244		1000146996	0	1	3	3	1090	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138078	0
127	1	false	0	0	95	95	0	0	7440	0	0	1000146164	1000146245		1000146800	0	1	3	3	1091	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138079	0
128	1	false	0	0	95	95	0	0	7440	0	0	1000146158	1000146246		1000146801	0	1	3	3	1092	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138080	0
129	1	false	0	0	95	95	0	0	7440	0	0	1000146165	1000146247		1000146802	0	1	3	3	1093	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138081	0
130	1	false	0	0	95	95	0	0	7440	0	0	1000146166	1000146248		1000146803	0	1	3	3	1094	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138082	0
131	1	false	0	0	95	95	0	0	24800	0	0	1000146165	1000146249		1000146804	0	1	3	3	1101	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138083	0
132	1	false	0	0	95	95	0	0	24800	0	0	1000146167	1000146250		1000146805	0	1	3	3	1102	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138084	0
133	1	false	0	0	95	95	0	0	24800	0	0	1000146168	1000146251		1000146997	0	1	3	3	1103	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000138085	0
134	1	false	0	0	95	95	0	0	7440	0	0	1000146169	1000146252		1000146998	0	1	3	3	1121	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137498	0
135	1	false	0	0	95	95	0	0	7440	0	0	1000146170	1000146253		1000147542	0	1	3	3	1122	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137499	0
136	1	false	0	0	95	95	0	0	7440	0	0	1000089405	1000146254		1000146809	0	1	3	3	1123	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137500	0
137	1	false	0	0	95	95	0	0	7440	0	0	1000146169	1000146255		1000146810	0	1	3	3	1124	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137501	0
138	1	false	0	0	95	95	0	0	7440	0	0	1000146171	1000146256		1000146811	0	1	3	3	1125	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137502	0
139	1	false	0	0	95	95	0	0	23375	0	1	1000146172	1000103963		1000147543	0	1	3	3	19002	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137503	0
140	1	false	0	0	95	95	0	0	23375	0	1	1000146173	1000146257		1000147544	0	1	3	3	19004	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137504	0
141	1	false	0	0	95	95	0	0	23375	0	1	1000146173	1000146258		1000146814	0	1	3	3	19006	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137505	0
142	1	false	0	0	95	95	0	0	23375	0	1	1000146174	1000146259		1000146815	0	1	3	3	19008	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137506	0
143	1	false	0	0	95	95	0	0	23375	0	1	1000000376	1000146260		1000146816	0	1	3	3	19011	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	1000137507	0
