ROWID	_Name|TEXT	_ClassID|INTEGER	_VisibleProb|FLOAT	_VisibleWeather|TEXT	_AniName|TEXT	_ActName|TEXT	_DefaultAction|TEXT	_IntersectionType|INTEGER	_Particle|INTEGER	_Sound|INTEGER	_Sound_Range|DOUBLE	_Sound_Rolloff|FLOAT	_CullingRange|INTEGER	_IsStaticCollision|BOOLEAN	_SpecLevel|INTEGER	_IsCastLightmap|BOOLEAN	_IsLightmapInfluence|BOOLEAN	_IsIncludeNavMesh|BOOLEAN	_IsCastWater|BOOLEAN	_IsProjectileSkip|BOOLEAN	_IsMonsterAggro|BOOLEAN	_IsMonsterCardTypeSkip|INTEGER	_ForceShow|BOOLEAN
19	SpiderEgg2.skn	2	1.0	All	SpiderEgg2.ani	SpiderEgg2.act	Idle	2	263	440	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
20	Cobweb1.skn	2	1.0	All	Cobweb1.ani	Cobweb1.act	Idle	2	736	1027	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
21	ToxicSpore.skn	2	1.0	All	ToxicSpore.ani	ToxicSpore.act	Idle	2	736	1027	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
22	Devil Camp01.skn	2	1.0	All	Devil Camp01.ani	Devil Camp01.act	Idle	2	736	123	10.0	0.5	0	false	0	false	false	false	true	false	false	0	false
23	PulleyBlock01.skn	2	1.0	All	PulleyBlock01.ani	PulleyBlock01.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
24	BookCase03.skn	2	1.0	All	BookCase03.ani	BookCase03.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
25	BookCase04.skn	2	1.0	All	BookCase04.ani	BookCase04.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
26	Wooden Barrel03.skn	2	1.0	All	Wooden Barrel03.ani	Wooden Barrel03.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
27	Wooden Barrel04.skn	2	1.0	All	Wooden Barrel04.ani	Wooden Barrel04.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
28	RearCar.skn	2	1.0	All	RearCar.ani	RearCar.act	Idle	2	736	123	10.0	0.5	0	false	0	false	false	false	true	false	false	0	false
29	Wood Box1.skn	2	1.0	All	Wood Box1.ani	Wood Box1.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
30	Wood Box2.skn	2	1.0	All	Wood Box2.ani	Wood Box2.act	Idle	2	263	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
31	GreenLand_Dungeon_Table.skn	2	1.0	All	GreenLand_Dungeon_Table.ani	GreenLand_Dungeon_Table.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
32	DevilSummoner_Mouth01.skn	2	1.0	All	DevilSummoner_Mouth01.ani	DevilSummoner_Mouth01.act	Idle	0	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
33	DevilSummoner_Mouth02.skn	2	1.0	All	DevilSummoner_Mouth02.ani	DevilSummoner_Mouth02.act	Idle	0	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
34	DevilSummoner_Mouth03.skn	2	1.0	All	DevilSummoner_Mouth03.ani	DevilSummoner_Mouth03.act	Idle	0	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
35	DevilSummoner_Mouth04.skn	2	1.0	All	DevilSummoner_Mouth04.ani	DevilSummoner_Mouth04.act	Idle	0	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
36	black_cube.skn	2	0.5	All	black_cube.ani	black_cube.act	Idle	2	736	144	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
37	Eggcart01.skn	2	1.0	All	Eggcart01.ani	Eggcart01.act	Idle	2	736	123	10.0	0.5	0	false	0	false	false	false	true	false	false	0	false
38	Laboratory_Chair01.skn	2	1.0	All	Laboratory_Chair01.ani	Laboratory_Chair01.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
39	Laboratory_Table03.skn	2	1.0	All	Laboratory_Table03.ani	Laboratory_Table03.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
40	Manufactory.skn	2	0.5	All	Manufactory.ani	Manufactory.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
41	HobgoblinMaker.skn	2	1.0	All	HobgoblinMaker.ani	HobgoblinMaker.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
42	Manufactory02.skn	2	1.0	All	Manufactory02.ani	Manufactory02.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
43	Wooden_Barrel_NoPercent.skn	2	1.0	All	Wooden_Barrel.ani	Wooden_Barrel.act	Idle	0	736	143	10.0	0.3	0	false	0	false	true	false	true	false	false	0	false
44	BM_N_Brokentree01.skn	2	1.0	All	BM_N_Brokentree01.ani	BM_N_Brokentree01.act	Idle	0	736	143	10.0	0.3	0	false	0	false	false	false	true	false	false	0	false
45	GreenLand_Dungeon_Table.skn	2	1.0	All	GreenLand_Dungeon_Table.ani	GreenLand_Dungeon_Table.act	Idle	1	0	0	10.0	0.5	100	true	0	false	true	false	true	false	false	0	false
46	BookCase03.skn	2	1.0	All	BookCase03.ani	BookCase03.act	Idle	2	0	0	10.0	0.5	0	true	0	false	true	false	true	false	false	0	false
47	BookCase04.skn	2	1.0	All	BookCase04.ani	BookCase04.act	Idle	2	0	0	10.0	0.5	0	true	0	false	true	false	true	false	false	0	false
48	black_100pcube.skn	2	1.0	All	black_cube.ani	black_cube.act	Idle	2	736	144	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
49	BM_A_MonsterDrum.skn	13	1.0	All	BM_A_MonsterDrum.ani	BM_A_MonsterDrum.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
50	BM_A_Blackstone01.skn	2	1.0	All	BM_A_Blackstone01.ani	BM_A_Blackstone01.act	Idle	2	736	142	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
51	Prop_GoblinSon02.skn	2	1.0	All	Prop_GoblinSon02.ani	Prop_GoblinSon02.act	Idle	2	0	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
52	Wood Box1_aggro.skn	10	1.0	All	Wood Box1_aggro.ani	Wood Box1_aggro.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	true	0	false
53	BM_A_Blackstone02_actor.skn	10	1.0	All	BM_A_Blackstone01.ani	BM_A_Blackstone01.act	Idle	2	736	142	10.0	0.5	0	false	0	false	true	false	true	false	true	0	false
54	Applebox01_01.skn	2	1.0	All	Applebox01_01.ani	Applebox01_01.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
55	Kettle01_01.skn	2	1.0	All	Kettle01_01.ani	Kettle01_01.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
56	Gargoyle_Statue.skn	2	1.0	All	Gargoyle_Statue.ani	Gargoyle_Statue.act	Idle	2	736	144	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
57	Gargoyle_Statue_Buff.skn	13	1.0	All	Gargoyle_Statue.ani	Gargoyle_Statue.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
58	Co_A_SeaDeadTreeA.skn	2	1.0	All	Co_A_SeaDeadTreeA.ani	Co_A_SeaDeadTreeA.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
59	Co_A_SeaFishHackA.skn	2	1.0	All	Co_A_SeaFishHackA.ani	Co_A_SeaFishHackA.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
60	ForceMirror.skn	13	1.0	All	ForceMirror.ani	ForceMirror.act	Idle	2	263	143	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
61	Co_A_SeaFishHackB.skn	2	1.0	All	Co_A_SeaFishHackB.ani	Co_A_SeaFishHackB.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
62	Co_A_SeaFloat.skn	2	1.0	All	Co_A_SeaFloat.ani	Co_A_SeaFloat.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
63	Co_A_SeaRopeA.skn	2	1.0	All	Co_A_SeaRopeA.ani	Co_A_SeaRopeA.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
64	LW_N_VineA01.skn	2	1.0	All	LW_N_VineA01.ani	LW_N_VineA01.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
65	SH_A_RuinLower_Chair01.skn	2	1.0	All	SH_A_RuinLower_Chair01.ani	SH_A_RuinLower_Chair01.act	Idle	2	736	142	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
66	SH_A_RuinLower_Desk01.skn	2	1.0	All	SH_A_RuinLower_Desk01.ani	SH_A_RuinLower_Desk01.act	Idle	2	736	142	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
67	SH_A_RuinLower_Pot01.skn	2	1.0	All	SH_A_RuinLower_Pot01.ani	SH_A_RuinLower_Pot01.act	Idle	2	736	142	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
68	LM_D_AncientBookCase01.skn	2	1.0	All	LM_D_AncientBookCase01.ani	LM_D_AncientBookCase01.act	Idle	2	736	142	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
69	LM_D_AncientRuneelf01.skn	2	1.0	All	LM_D_AncientRuneelf01.ani	LM_D_AncientRuneelf01.act	Idle	2	736	142	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
70	LM_D_AncientRuneelf02.skn	2	1.0	All	LM_D_AncientRuneelf02.ani	LM_D_AncientRuneelf02.act	Idle	2	736	142	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
71	LM_D_AncientRuneelf03.skn	2	1.0	All	LM_D_AncientRuneelf03.ani	LM_D_AncientRuneelf03.act	Idle	2	736	142	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
72	LM_D_AncientRuneelf04.skn	2	1.0	All	LM_D_AncientRuneelf04.ani	LM_D_AncientRuneelf04.act	Idle	0	736	142	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
73	LM_D_AncientSword01.skn	2	1.0	All	LM_D_AncientSword01.ani	LM_D_AncientSword01.act	Idle	0	736	142	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
74	LM_D_AncientSword02.skn	2	1.0	All	LM_D_AncientSword02.ani	LM_D_AncientSword02.act	Idle	0	736	142	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
75	FinalTape.skn	1	1.0	All	FinalTape.ani	FinalTape.act	Idle	2	736	142	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
76	LM_N_DragonEgg.skn	2	1.0	All	LM_N_DragonEgg.ani	LM_N_DragonEgg.act	Idle	2	736	123	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
77	Barricade02.skn	2	1.0	All	Barricade02.ani	Barricade02.act	Idle	2	263	143	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
78	LM_A_MeteoritePieceBlue.skn	10	1.0	All	LM_A_MeteoritePieceBlue.ani	LM_A_MeteoritePieceBlue.act	Idle	2	736	123	10.0	0.5	0	false	0	false	false	false	true	false	false	0	false
79	LM_A_MeteoritePieceRed.skn	10	1.0	All	LM_A_MeteoritePieceBlue.ani	LM_A_MeteoritePieceRed.act	Idle	2	736	123	10.0	0.5	0	false	0	false	false	false	true	false	false	0	false
80	LM_A_MeteoritePieceViolet.skn	10	1.0	All	LM_A_MeteoritePieceBlue.ani	LM_A_MeteoritePieceViolet.act	Idle	2	736	123	10.0	0.5	0	false	0	false	false	false	true	false	false	0	false
81	LM_Barricade.skn	2	1.0	All	LM_Barricade.ani	LM_Barricade.act	Idle	2	263	123	10.0	0.5	0	false	0	false	false	false	true	false	false	0	false
82	LM_A_Mutant_MeteoritePieceBlue.skn	10	1.0	All	LM_A_Mutant_MeteoritePieceBlue.ani	LM_A_Mutant_MeteoritePieceBlue.act	Idle	2	736	123	10.0	0.5	0	false	0	false	false	false	true	false	false	0	false
83	LM_A_Mutant_MeteoritePieceRed.skn	10	1.0	All	LM_A_Mutant_MeteoritePieceBlue.ani	LM_A_Mutant_MeteoritePieceRed.act	Idle	2	736	123	10.0	0.5	0	false	0	false	false	false	true	false	false	0	false
84	LM_A_Mutant_MeteoritePieceViolet.skn	10	1.0	All	LM_A_Mutant_MeteoritePieceBlue.ani	LM_A_Mutant_MeteoritePieceViolet.act	Idle	2	736	123	10.0	0.5	0	false	0	false	false	false	true	false	false	0	false
85	Crazylaboratory_Door01_Broken.skn	1	1.0	All	Crazylaboratory_Door01_Broken.ani	Crazylaboratory_Door01_Broken.act	Idle	2	0	0	10.0	0.5	0	false	0	true	true	false	true	false	false	0	false
86	AN_N_Egg01.skn	10	1.0	All	AN_N_Egg01.ani	AN_N_Egg01.act	Idle	0	263	24277	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
87	AN_N_Egg02.skn	1	1.0	All	AN_N_Egg02.ani	AN_N_Egg02.act	Idle	0	263	24277	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
88	TelNumara_TempleBrokenFloor_Brokenprop.skn	2	1.0	All	TelNumara_TempleBrokenFloor_Brokenprop.ani	TelNumara_TempleBrokenFloor_Brokenprop.act	Idle	2	0	0	10.0	0.5	0	false	0	false	false	false	true	false	false	0	false
89	Meteorite_VioletBroken.skn	2	1.0	All	Meteorite_VioletBroken.ani	Meteorite_VioletBroken.act	Idle	2	0	0	10.0	0.5	0	false	0	true	false	false	true	false	false	0	false
90	AN_N_Egg01_NoDamage.skn	2	1.0	All	AN_N_Egg01_NoDamage.ani	AN_N_Egg01_NoDamage.act	Idle	2	263	24277	10.0	0.5	0	false	0	false	false	false	true	false	false	0	false
91	LM_D_AncientSword01_Allstar.skn	2	1.0	All	LM_D_AncientSword01_Allstar.ani	LM_D_AncientSword01_Allstar.act	Idle	0	736	142	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
92	LM_D_AncientSword02_Allstar.skn	2	1.0	All	LM_D_AncientSword02_Allstar.ani	LM_D_AncientSword02_Allstar.act	Idle	0	736	142	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
102	WarriorVillage_Castle.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
103	Warriorvillage_House01.skn	1	1.0	All		Warriorvillage_House01.act	Idle	2	0	0	10.0	0.5	500	true	0	true	false	true	true	false	false	0	false
104	Warriorvillage_House02.skn	1	1.0	All		Warriorvillage_House02.act	Idle	2	0	0	10.0	0.5	500	true	0	true	false	true	true	false	false	0	false
105	WarriorVillage_Passage.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
106	WarriorVillage_Bridge.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	false	false	true	true	false	false	0	false
107	AirShip.skn	1	1.0	All	AirShip_Ani.ani	AirShip.act	Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
108	Warriorvillage_Warehouse01.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
109	Warriorvillage_ FlowerPot01.skn	0	1.0	All			Idle	0	0	0	10.0	0.5	0	true	0	false	true	false	true	false	false	0	false
110	Warriorvillage_ FlowerPot02.skn	0	1.0	All			Idle	0	0	0	10.0	0.5	0	true	0	false	true	false	true	false	false	0	false
111	Warriorvillage_ FlowerPot03.skn	0	1.0	All			Idle	0	0	0	10.0	0.5	0	true	0	false	true	false	true	false	false	0	false
112	White_Birch01.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
113	White_Birch02.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
114	White_Birch03.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
115	White_Birch04.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
116	White_Birch05.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
117	White_Birch_Yellow01.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
118	White_Birch_Yellow02.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
119	White_Birch_Yellow03.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
120	White_Birch_Yellow04.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
121	White_Birch_Yellow05.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
122	Coniferous_green01.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
123	Coniferous_green02.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
124	Coniferous_green03.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
125	Coniferous_red01.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
126	Coniferous_red02.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
127	damage airship.skn	0	1.0	All			Idle	0	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
128	CO_N_waterfall.skn	1	1.0	All		CO_N_waterfall.act	Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
129	coniferous_Fallengreen.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
130	coniferous_FallenRed.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
131	WarriorVillage_Bridge02.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
132	Warriorvillage_House03.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
133	Warriorvillage_House04.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
134	CG_A_TteeStairA.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
135	CG_A_TteeStairB.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
136	Darklair_WorldzoneGate01.skn	1	1.0	All	Darklair_WorldzoneGate01.ani	Darklair_WorldzoneGate01.act	Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
137	Darklair_WorldzoneTileBroken.skn	0	1.0	All			Idle	0	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
138	Darklair_WorldzoneDoorBroken02.skn	0	1.0	All			Idle	0	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
139	Airship_billboard.skn	1	1.0	All			Idle	0	0	0	10.0	0.5	0	true	0	false	false	false	true	false	false	0	false
142	Treasurebox00.skn	6	1.0	All	Treasurebox00.ani	Treasurebox00.act	Close	2	0	0	10.0	0.5	0	false	0	true	true	true	true	false	false	0	false
143	Ttreasurebox_Gold.skn	6	0.05	All	Ttreasurebox_Gold.ani	Ttreasurebox_Gold.act	Close	2	0	0	10.0	0.5	0	false	0	true	true	true	true	false	false	0	false
144	Treasurebox_Silver.skn	6	1.0	All	Treasurebox_Silver.ani	Treasurebox_Silver.act	Close	2	0	0	10.0	0.5	0	false	0	true	true	true	true	false	false	0	false
145	Treasurebox_Gold_75.skn	6	0.75	All	Treasurebox_Gold_75.ani	Treasurebox_Gold_75.act	Close	2	0	0	10.0	0.5	0	false	0	true	true	true	true	false	false	0	false
146	Ttreasurebox_Gold_100.skn	6	1.0	All	Ttreasurebox_Gold_100.ani	Ttreasurebox_Gold_100.act	Close	2	0	0	10.0	0.5	0	false	0	false	true	true	true	false	false	0	false
147	Treasurebox_Dragon_100.skn	6	1.0	All	Treasurebox_Dragon_100.ani	Treasurebox_Dragon_100.act	Close	2	0	0	10.0	0.5	0	false	0	true	true	true	true	false	false	0	false
148	Treasurebox00_DarkLair8.skn	6	0.5	All	Treasurebox00_DarkLair8.ani	Treasurebox00_DarkLair8.act	Close	2	0	0	10.0	0.5	0	false	0	true	true	true	true	false	false	0	false
149	Treasurebox_Silver_DarkLair8.skn	6	0.2	All	Treasurebox_Silver_DarkLair8.ani	Treasurebox_Silver_DarkLair8.act	Close	2	0	0	10.0	0.5	0	false	0	true	true	true	true	false	false	0	false
150	Treasurebox_Gold_DarkLair8.skn	6	0.05	All	Treasurebox_Gold_DarkLair8.ani	Treasurebox_Gold_DarkLair8.act	Close	2	0	0	10.0	0.5	0	false	0	true	true	true	true	false	false	0	false
151	Treasurebox_Dragon_Interactive.skn	5	1.0	All	Treasurebox_Dragon_100.ani	Treasurebox_Dragon_100.act	Close	2	0	0	10.0	0.5	0	false	0	true	true	false	true	false	false	0	false
152	Treasurebox01_dolyong.skn	6	1.0	All	Treasurebox01_dolyong.ani	Treasurebox01_dolyong.act	Close	2	0	0	10.0	0.5	0	false	0	true	true	true	true	false	false	0	false
153	Warriorvillage_House01_Broken.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	false	true	false	false	0	false
154	Warriorvillage_House02_Broken.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	false	true	false	false	0	false
155	Warriorvillage_House_BrokenWall01.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	true	false	true	false	false	0	false
156	Warriorvillage_House_BrokenWall02.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	true	false	true	false	false	0	false
157	Warriorvillage_House_BrokenWall03.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	true	false	true	false	false	0	false
158	CO_N_waterfall02.skn	1	1.0	All		CO_N_waterfall02.act	Idle	2	0	0	10.0	0.5	0	true	0	true	false	true	true	false	false	0	false
159	Coniferous_FireTree01.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	false	true	false	false	0	false
160	Coniferous_FireTree02.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	false	true	false	false	0	false
161	Coniferous_FireTree03.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	false	true	false	false	0	false
162	Coniferous_FireTree04.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	false	true	false	false	0	false
163	Coniferous_FireTree05.skn	0	1.0	All			Idle	2	0	0	10.0	0.5	0	true	0	true	false	false	true	false	false	0	false
164	Noshadow_Ttreasurebox_Click.skn	5	1.0	All	Ttreasurebox_Click.ani	Ttreasurebox_Click.act	Close	2	0	0	10.0	0.5	0	false	0	false	true	false	true	false	false	0	false
165	Circus_A_box2_Chest.skn	6	1.0	All		Circus_A_box2_Chest.act	Close	2	0	0	10.0	0.5	0	false	0	true	true	false	true	false	false	0	false
166	Treasurebox00_Party.skn	5	1.0	All	Treasurebox00_Party.ani	Treasurebox00_Party.act	Close	2	0	0	10.0	0.5	0	false	0	true	true	true	true	false	false	0	false
167	Ttreasurebox_Party_Gold_100.skn	5	1.0	All	Ttreasurebox_Gold_100.ani	Ttreasurebox_Gold_100.act	Close	2	0	0	10.0	0.5	0	false	0	true	true	true	true	false	false	0	false
168	Treasurebox_Red.skn	6	0.05	All	Ttreasurebox_Gold.ani	Treasurebox_Red.act	Close	2	0	0	10.0	0.5	0	false	0	true	true	true	true	false	false	0	false
