ROWID	_StaticName|TEXT	_StateEffectIndex|INTEGER	_ShowTimingType|INTEGER	_EffectOutputType|INTEGER	_EffectPlayType|INTEGER	_EffectSkinFileName|INTEGER	_EffectAniFileName|INTEGER	_EffectActFileName|INTEGER	_ActorActionName|TEXT	_UseDiffuseVariation|INTEGER	_DiffuseR1|DOUBLE	_DiffuseG1|DOUBLE	_DiffuseB1|DOUBLE	_DiffuseR2|DOUBLE	_DiffuseG2|DOUBLE	_DiffuseB2|DOUBLE	_DiffuseChangeSpeed|DOUBLE	_LinkBoneIndex|TEXT	_ContentsID|TEXT	_SetParent|BOOLEAN
70	유니크몬스터_블랙	0	0	2	0	0	0	13051		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
71	유니크몬스터_블루	0	0	2	0	0	0	13056		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
72	유니크몬스터_그린	0	0	2	0	0	0	13060		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
73	유니크몬스터_오렌지	0	0	2	0	0	0	13064		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
74	유니크몬스터_레드	0	0	2	0	0	0	13069		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
75	유니크몬스터_화이트	0	0	2	0	0	0	13073		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
76	유니크몬스터7	0	0	2	0	0	0	13066		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
77	유니크몬스터8	0	0	2	0	0	0	13066		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
78	유니크몬스터9	0	0	2	0	0	0	13066		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
79	유니크몬스터10	0	0	2	0	0	0	13066		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
80	네임드몬스터_블랙	0	0	2	0	0	0	13053		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
81	네임드몬스터_블루	0	0	2	0	0	0	13058		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
82	네임드몬스터_그린	0	0	2	0	0	0	13062		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
83	네임드몬스터_오렌지	0	0	2	0	0	0	13066		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
84	네임드몬스터_레드	0	0	2	0	0	0	13071		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
85	네임드몬스터_화이트	0	0	2	0	0	0	13075		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
86	네임드몬스터7	0	0	2	0	0	0	13066		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
87	네임드몬스터8	0	0	2	0	0	0	13066		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
88	네임드몬스터9	0	0	2	0	0	0	13066		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
89	네임드몬스터10	0	0	2	0	0	0	13066		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
90	아포칼립스 네스트미노 스켈용 레드	0	0	2	0	0	0	13068		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
91	아포칼립스 네스트미노 스켈용 블루	0	0	2	0	0	0	13055		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
92	이벤트미노타우르스	0	0	2	0	0	0	13048		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
93	씨드래곤_스위치 존에서 사용	96	0	2	0	0	0	13114		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
94	씨드래곤_스위치 존에서 사용	94	0	2	0	0	0	13113		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
95	씨드래곤_스위치 존에서 사용	86	0	2	0	0	0	13112		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
96	타겟팅	100	0	2	0	0	0	13103		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
97	DieSkill	137	0	2	0	0	0	13115		1	0.94509804	0.26666668	0.26666668	1.0	0.4	0.4	3.0	0		false
98	HP회복	12	0	2	0	0	0	13099		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1		false
99	모든방어력증가	134	0	2	0	0	0	13034		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
100		0	0	2	0	0	0	14739		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
101	IronSkin	61	0	0	0	0	0	13155		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
102	DefenseDown	134	0	2	0	0	0	13031		1	0.25490198	0.4509804	0.5137255	0.4	0.6	0.7	3.0	0		false
103	Hammerige	134	0	2	0	0	0	13153		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
104	배틀하울	2	0	2	0	0	0	13147		1	0.94509804	0.26666668	0.26666668	1.0	0.4	0.4	3.0	1;3;4;5;6		false
105	차징하울	61	0	2	0	0	0	13150		1	0.94509804	0.26666668	0.26666668	1.0	0.4	0.4	3.0	1;3;4;5;6		false
106	디스인챈팅하울	78	0	2	0	0	0	13151		1	0.25490198	0.4509804	0.5137255	0.4	0.6	0.7	3.0	1;3;4;5;6		false
107	타운팅하울	125	0	2	0	0	0	13156		1	0.25490198	0.4509804	0.5137255	0.4	0.6	0.7	3.0	1;3;4;5;6		false
108	HighLander	0	0	2	0	0	0	13154		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
109	Eclipse	142	0	2	0	0	0	13152		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
110	디스인챈팅하울	29	0	2	0	0	0	12989		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
111	어펜드 히트(MAXDMG_ADD_ATTACK)	160	0	2	0	0	0	13146		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
112	골절(BONE_CRUSH)	161	0	2	0	0	0	13148		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
113	브래이킹 포인트(SUPERAMR_BREAK)	0	0	2	0	0	0	13149		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
114	Burn	76	1	2	1	0	0	13000		1	0.85882354	0.1764706	0.019607844	0.7019608	0.29803923	0.02745098	15.0	1;3;4;5;6		false
115	브레이브	310	0	2	0	0	0	20497		1	0.94509804	0.26666668	0.26666668	1.0	0.4	0.4	3.0	0		false
116	피지컬 어택 마스터리	0	0	2	1	0	0	23397		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
117	머셔너리 터프니스 공격력 버프	280	0	2	1	0	0	12997		1	0.0	0.0	0.0	0.0	0.29803923	0.0	1.0	0		false
118		0	0	0	0	0	0	0		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
119	디스트로이어 퍼니싱스윙EX 도발 디버프	132	0	2	0	0	0	13021		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
120	차징하울 HP 상승	58	0	2	1	0	0	13150		1	0.94509804	0.26666668	0.26666668	1.0	0.4	0.4	3.0	1;3;4;5;6		false
200		0	0	0	0	0	0	0		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
201	Owl'sInsight	22	0	2	0	0	0	13040		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
202	PhysicalBullsEye	134	0	2	0	0	0	12978		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
203	magicalBullsEye	108	0	2	0	0	0	13057		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
204	SpiritAcceleration	88	0	2	0	0	0	12984		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
205	Shylph'sAide	65	0	2	0	0	0	12982		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
206	SpiralBoost	25	0	2	0	0	0	12983		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
207	AnkleShot	70	0	2	0	0	0	12977		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
208	Owl'sRage	22	0	2	0	0	0	12980		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
209	크리티컬 브레이크(CRITICAL_ADD_DMG)	169	0	2	0	0	0	12979		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
210	데토네이팅 애로우(TIME_BOOM)	170	0	2	0	0	0	12985		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
211	쇼타임(TARGET_KIND_COOLTIME)	171	0	2	0	0	0	0		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
212	치팅포인트_버프	184	0	2	0	0	0	13025		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
299		0	0	0	0	0	0	0		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
300		0	0	0	0	0	0	0		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
301	Burn	42	1	2	1	0	0	13000		1	0.85882354	0.1764706	0.019607844	0.7019608	0.29803923	0.02745098	15.0	1;3;4;5;6		false
302	Poisoning	44	1	2	1	0	0	13107		1	0.15686275	0.654902	0.039215688	0.105882354	0.46666667	0.023529412	2.0	1;3;4;5;6		false
303	Ice	144	0	2	0	0	0	13089		1	0.15294118	0.5764706	0.9372549	0.25882354	0.6509804	0.9843137	1.0	1;3;4;5;6		false
304	Freezing	41	1	2	0	13084	13083	13082	Freezing	1	0.23	1.47	1.5	0.25882354	0.6509804	0.9843137	15.0	1;3;4;5;6		false
305	Sleep	45	0	2	0	0	0	13120		0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0		false
306	PowerDown	2	0	2	0	0	0	13043		1	0.25490198	0.4509804	0.5137255	1.0	1.0	1.0	3.0	0		false
307	FireSheild	134	0	2	0	0	0	13080		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
308	FreezingSheild	134	0	2	0	0	0	13088		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
309	ForceSheild	134	0	2	0	0	0	13081		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
310	TimeRestriction	146	0	2	0	0	0	13128		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
311	TimeExelation	96	0	2	0	0	0	13127		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
312	PayBackMana	68	0	2	0	0	0	13125		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
313	ForceMirror	135	0	2	0	0	0	13122		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
314	MysticMeditaion	139	0	2	0	0	0	13124		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
315	버닝핸드(STATE_ADD_STATE)	172	0	2	0	0	0	13121		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
316	아이스배리어(FREEZING_SHIELD)	55	0	0	0	0	0	13123		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
317	스틸매직(STEAL_MAGIC)	174	0	2	0	0	0	13126		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
318	카라한아이스배리어(FREEZING_SHIELD)	134	0	0	0	0	0	13123		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
319	아이시프렉션	117	0	2	0	0	0	13089		1	0.15294118	0.5764706	0.9372549	0.25882354	0.6509804	0.9843137	1.0	1;3;4;5;6		false
320	레이즈 그라비티_EX	39	0	2	0	0	0	23521		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
321	프로즌버스트 오라	345	0	2	0	0	0	33275		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
399		0	0	0	0	0	0	0		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
400		0	0	0	0	0	0	0		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
401	Block	30	0	2	0	0	0	13039		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
402	Shock	43	0	2	0	0	0	13116		1	0.07058824	0.36078432	0.9490196	0.03137255	0.19607843	0.6039216	45.0	1;3;4;5;6		false
403	Hold	70	0	2	0	0	0	13098	Hold	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2		false
404	PowerUp	2	0	2	0	0	0	13047		1	0.94509804	0.26666668	0.26666668	1.0	1.0	1.0	3.0	0		false
405	Heal	140	0	0	1	0	0	13100		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
406	PowerUp_Aura	100	0	2	0	0	0	13111		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
407	FirstAid	140	0	2	1	0	0	13016		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
408	LightningCharger	62	0	2	0	0	0	13018		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
409	DivinePunishment	111	0	2	0	0	0	13014		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1		false
410	DivineAvatar	99	0	2	0	0	0	13013		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
411	ElementalAura	34	0	2	0	0	0	13015		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
412	ConvictionAura	76	0	2	0	0	0	13011		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
413	WillofIron	135	0	2	0	0	0	13026		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
414	StandOfFaith	135	0	2	0	0	0	13024		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
415	SacredHammering	129	0	2	0	0	0	13022		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
416	BlessOfLight	34	0	2	0	0	0	13010		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
417	Striking	2	0	2	0	0	0	13025		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
418	ProtectionShell	135	0	2	0	0	0	13020		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
419	Cure	69	0	2	0	0	0	13012		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
420	Provoq	132	0	2	0	0	0	13021		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
421	ArmorBreak	135	0	2	0	0	0	13031		1	0.25490198	0.4509804	0.5137255	0.4	0.6	0.7	3.0	0		false
422	PrayOfHealing	141	0	2	0	0	0	13019		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
423	오토블록 EX	0	0	2	0	0	0	0		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
424	가디언 포스	55	0	0	0	0	0	13017		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
425	저지스파워	164	0	2	0	0	0	0		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
426	저지먼트헤머	166	0	2	0	0	0	0		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
427	쇼크오브렐릭	167	0	2	0	0	0	0		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
428	쇼크트랜지션	168	0	2	0	0	0	13023		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
429	RelicOfCure	77	0	2	0	0	0	20324		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
430	Hold_EX	70	0	2	0	0	0	22428	Hold	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2		false
431	WillofIron	61	0	0	0	0	0	13155		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
432	LightningCharger	249	0	2	0	0	0	47537		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
451	버블버블_버프	61	0	0	0	0	0	12974		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
452	버블버블_디버프	70	0	0	0	0	0	12974		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
453	왁스_버프	0	0	2	0	0	0	0		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
454	왁스_디버프	0	1	2	0	0	0	0		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
455	캐미컬 미사일	36	0	2	0	0	0	12975		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
456	데미지트렌지션	135	0	2	0	0	0	12976		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
457	Cocktail	87	0	2	0	0	0	15018		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
458	HEALING	12	0	0	0	0	0	15019		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
459	HIT_INVALIDATION	36	0	0	0	0	0	15089		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
460	디지즈	136	0	2	0	0	0	13107		1	0.15686275	0.654902	0.039215688	0.105882354	0.46666667	0.023529412	2.0	1;3;4;5;6		false
461	메카 사이렌EX	25	0	2	0	0	0	12983		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0;1;2;3;4		false
462	힐샤워 속성공격 버프	307	0	2	0	0	0	0		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			false
463	신규 디지즈	136	0	2	0	0	0	33872		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
551	칼리_저주	244	0	2	0	0	0	17163		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
552	딜레이(슬로우 엑셀)	220	0	2	0	0	0	17164		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2		false
553	그루지포메이션_적군	142	0	2	0	0	0	17165		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1;3;4;5;6		false
554	그루지포메이션_아군	39	0	2	0	0	0	17166		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
555	인크리즈소울	29	0	2	0	0	0	17167		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
556	팬텀_가드	61	0	2	0	0	0	17168		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
557	팬텀스_어벤저	25	0	2	0	0	0	17169		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
558	새디즘_플래저	0	0	2	0	0	0	17170		0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0		false
