ROWID	_Name|TEXT	_Type|INTEGER
362	Sand_Ground29.dds	1
363	Stone_Dry24_Spec.dds	4
364	Stone_Dry25_01.dds	4
365	Stone_Dry25_Spec.dds	4
366	Stone_Dry26.dds	4
367	Stone_Dry27.dds	4
368	Stone_Dry28.dds	4
369	Foor_T_HanselGretel01.dds	4
370	Foor_T_HanselGretel02.dds	4
371	Foor_T_HanselGretel03.dds	7
372	Foor_T_HanselGretel04.dds	4
373	Foor_Stone38_Spec.dds	4
374	Foor_T_Goldcoin01_ Spec.dds	4
375	Sand_Ground14_Spec.dds	6
376	Foor_T_HanselGretel05.dds	4
377	Sand_Ground18.dds	6
378	Green_Wet27.dds	2
379	Green_Wet28.dds	2
380	Green_Wet29.dds	2
381	Stone_Dry29.dds	4
382	Ground_Dry31.dds	1
383	Sand_Ground30.dds	6
384	Stone_Dry30.dds	4
385	Ground_Dry32.dds	1
386	Ground_Dry33.dds	1
387	Grass_Green49.dds	2
388	Foor_Stone39.dds	4
389	Foor_Stone40.dds	4
390	Foor_Stone41.dds	4
391	Foor_Stone42.dds	4
392	Stone_Dry32.dds	4
393	Green_Dry13.dds	2
394	Grass_Green+Dry07.dds	2
395	Foor_Stone43.dds	4
396	Ground_Dry35.dds	1
397	Stone_Dry31.dds	4
398	Green_Wet30.dds	2
399	Ground_Dry36.dds	1
400	Ground_Dry37.dds	1
401	Ground_Dry38.dds	1
402	Stone_Dry33.dds	4
403	Stone_Dry34.dds	4
404	Sand_Ground33.dds	1
405	Foor_Stone44.dds	4
406	Sand_Ground32.dds	6
407	Stone_Dry35.dds	4
408	Ground_Wet13.dds	5
409	Sand_Ground31.dds	1
410	green_dry11.dds	2
411	RN01_Foor_Green02a.dds	4
412	RN01_Foor_Green03.dds	4
413	RN01_Foor_Green04.dds	4
414	RN01_Green_Wet03a.dds	2
415	RN01_Green_Wet08_Vary.dds	2
416	RN01_Green_Wet26_Vary.dds	2
417	RN01_Green_Wet31.dds	2
418	RN01_Ground_Wet13a.dds	2
419	RN01_Stone_Green04a.dds	2
420	Green_Dry16.dds	2
421	foor_stone47.dds	4
422	foor_stone48.dds	4
423	green_dry15.dds	2
424	ground_dry39.dds	1
425	Green_Wet31.dds	2
426	Ground_Wet14.dds	5
427	Ground_Wet15.dds	5
428	Stone_Dry36.dds	4
429	Grass_Dry58.dds	11
430	Stone_Dry37.dds	4
431	Stone_Dry38.dds	4
432	Ground_Dry40.dds	1
433	Ground_Dry41.dds	1
434	Grass_Snow08.dds	7
435	Foor_Snow02.dds	4
436	Foor_Stone49.dds	4
437	Ground_Dry42.dds	1
438	Ground_Dry43.dds	1
439	Stone_Dry39.dds	4
440	Snow_Ground04.dds	1
441	Snow_Stone04.dds	1
442	Green_Dry17.dds	2
