ROWID	_HP|INTEGER	_HPRefreshTimems|INTEGER	_MainDamageRate|FLOAT	_DefenseRate|FLOAT	_PassiveSkillIndex|INTEGER	_PassiveSkillLevel|INTEGER	_PassiveSkillLink|BOOLEAN	_PartsHPLink|TEXT	_DeadSkillIndex|INTEGER	_DeadSkinName|TEXT	_DeadAniName|TEXT	_DeadActionName|TEXT	_DeadAction|TEXT	_DeadActorAction|TEXT	_DeadActorActionBoneName|TEXT	_DeadActorActionFixBoneName|TEXT	_LimitAction1|TEXT	_LimitAction2|TEXT	_LimitAction3|TEXT	_LimitAction4|TEXT	_LimitAction5|TEXT	_BoneName1|TEXT	_MeshName1|TEXT	_EffectType1|BOOLEAN	_BoneName2|TEXT	_MeshName2|TEXT	_EffectType2|BOOLEAN	_BoneName3|TEXT	_MeshName3|TEXT	_EffectType3|BOOLEAN	_BoneName4|TEXT	_MeshName4|TEXT	_EffectType4|BOOLEAN	_BoneName5|TEXT	_MeshName5|TEXT	_EffectType5|BOOLEAN	_BoneName6|TEXT	_MeshName6|TEXT	_EffectType6|BOOLEAN	_BoneName7|TEXT	_MeshName7|TEXT	_EffectType7|BOOLEAN	_BoneName8|TEXT	_MeshName8|TEXT	_EffectType8|BOOLEAN	_BoneName9|TEXT	_MeshName9|TEXT	_EffectType9|BOOLEAN	_BoneName10|TEXT	_MeshName10|TEXT	_EffectType10|BOOLEAN	_BoneName11|TEXT	_MeshName11|TEXT	_EffectType11|BOOLEAN	_BoneName12|TEXT	_MeshName12|TEXT	_EffectType12|BOOLEAN	_BoneName13|TEXT	_MeshName13|TEXT	_EffectType13|BOOLEAN	_BoneName14|TEXT	_MeshName14|TEXT	_EffectType14|BOOLEAN	_BoneName15|TEXT	_MeshName15|TEXT	_EffectType15|BOOLEAN	_BoneName16|TEXT	_MeshName16|TEXT	_EffectType16|BOOLEAN	_BoneName17|TEXT	_MeshName17|TEXT	_EffectType17|BOOLEAN	_BoneName18|TEXT	_MeshName18|TEXT	_EffectType18|BOOLEAN	_BoneName19|TEXT	_MeshName19|TEXT	_EffectType19|BOOLEAN	_BoneName20|TEXT	_MeshName20|TEXT	_EffectType20|BOOLEAN	_DeadActorAmbient_R|DOUBLE	_DeadActorAmbient_G|DOUBLE	_DeadActorAmbient_B|DOUBLE	_DeadActorDiffuse_R|DOUBLE	_DeadActorDiffuse_G|DOUBLE	_DeadActorDiffuse_B|DOUBLE	_ToHitBlinkRed|DOUBLE	_ToHitBlinkGreen|DOUBLE	_ToHitBlinkBlue|DOUBLE	_ToHitBlinkTime|DOUBLE	_ToHitShakeTime|DOUBLE	_RequiredPartsID|TEXT	_RequiredPartsHP|TEXT	_Scaling|DOUBLE	_NameID|INTEGER	_PartsHPDisplay|BOOLEAN
11	200000	30000	1.0	1.0	0	0	false	12	0				Idle	Stand	Bone_L_Wing01	Bip01 Spine	Fly_Start	Fly				Bone_L_Wing01	Manticore_Black_Wing_L	true	Bone_L_Wing02	Manticore_Black_Wing_L	true	Bone_L_Wing03	Manticore_Black_Wing_L	true	Bone_L_Wing04	Manticore_Black_Wing_L	true	Bone_L_Wing05	Manticore_Black_Wing_L	true	Bone_L_Wing06	Manticore_Black_Wing_L	true	Bone_L_Wing07	Manticore_Black_Wing_L	true	Bone_L_Wing08	Manticore_Black_Wing_L	true	Bone_L_Wing09	Manticore_Black_Wing_L	true			false			false			false			false			false			false			false			false			false			false			false	0.9	0.2	0.2	0.9	0.2	0.2	1.0	0.0	0.0	0.3	0.3			5.0	0	false
12	200000	30000	1.0	1.0	0	0	false	11	0				Idle	Stand	Bone_R_Wing01	Bip01 Spine	Fly_Start	Fly				Bone_R_Wing01	Manticore_Black_Wing_R	true	Bone_R_Wing02	Manticore_Black_Wing_R	true	Bone_R_Wing03	Manticore_Black_Wing_R	true	Bone_R_Wing04	Manticore_Black_Wing_R	true	Bone_R_Wing05	Manticore_Black_Wing_R	true	Bone_R_Wing06	Manticore_Black_Wing_R	true	Bone_R_Wing07	Manticore_Black_Wing_R	true	Bone_R_Wing08	Manticore_Black_Wing_R	true	Bone_R_Wing09	Manticore_Black_Wing_R	true			false			false			false			false			false			false			false			false			false			false			false	0.9	0.2	0.2	0.9	0.2	0.2	1.0	0.0	0.0	0.3	0.3			5.0	0	false
13	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
14	15000000	10000	1.0	1.0	0	1	false	0	30008				Idle				Attack10_Bite	Attack1_Poison				Bip01 Head	Manticore_Head	true			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.9	0.2	0.2	0.9	0.2	0.2	1.0	0.0	0.0	0.3	0.3			5.0	1000036378	true
15	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
16	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
17	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
18	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
19	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
20	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
101	100000	10000	1.0	1.0	0	1	false	0	30008				Idle				Attack10_Bite	Attack1_Poison				Bip01 Head	Manticore_Head	true			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.9	0.2	0.2	0.9	0.2	0.2	1.0	0.0	0.0	0.3	0.3			5.0	1000036378	true
102	100000	30000	1.0	1.0	0	0	false	103	0				Idle	Stand	Bone_L_Wing01	Bip01 Spine	Fly_Start	Fly				Bone_L_Wing01	Manticore_Black_Wing_L	true	Bone_L_Wing02	Manticore_Black_Wing_L	true	Bone_L_Wing03	Manticore_Black_Wing_L	true	Bone_L_Wing04	Manticore_Black_Wing_L	true	Bone_L_Wing05	Manticore_Black_Wing_L	true	Bone_L_Wing06	Manticore_Black_Wing_L	true	Bone_L_Wing07	Manticore_Black_Wing_L	true	Bone_L_Wing08	Manticore_Black_Wing_L	true	Bone_L_Wing09	Manticore_Black_Wing_L	true			false			false			false			false			false			false			false			false			false			false			false	0.9	0.2	0.2	0.9	0.2	0.2	1.0	0.0	0.0	0.3	0.3			5.0	1000032475	true
103	100000	30000	1.0	1.0	0	0	false	102	0				Idle	Stand	Bone_R_Wing01	Bip01 Spine	Fly_Start	Fly				Bone_R_Wing01	Manticore_Black_Wing_R	true	Bone_R_Wing02	Manticore_Black_Wing_R	true	Bone_R_Wing03	Manticore_Black_Wing_R	true	Bone_R_Wing04	Manticore_Black_Wing_R	true	Bone_R_Wing05	Manticore_Black_Wing_R	true	Bone_R_Wing06	Manticore_Black_Wing_R	true	Bone_R_Wing07	Manticore_Black_Wing_R	true	Bone_R_Wing08	Manticore_Black_Wing_R	true	Bone_R_Wing09	Manticore_Black_Wing_R	true			false			false			false			false			false			false			false			false			false			false			false	0.9	0.2	0.2	0.9	0.2	0.2	1.0	0.0	0.0	0.3	0.3			5.0	1000032476	true
104	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
105	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
106	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
107	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
108	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
109	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
110	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
111	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
112	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
113	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
114	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
115	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
116	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
117	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
118	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
119	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
120	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
121	72000	20000	1.5	1.0	0	0	false	0	0				Idle	Stun_Ice	Bone13	Bip01 Spine						Bone13	cerberos_R	false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.21	0.22	0.28	0.43	0.46	0.59	1.0	0.0	0.0	0.3	0.3			5.0	1000032477	true
122	36000	20000	1.5	1.0	0	0	false	0	0				Idle	Stun_Dark	Bip01 Head	Bip01 Spine						Bip01 Head	cerberos_C	false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.21	0.22	0.28	0.43	0.46	0.59	1.0	0.0	0.0	0.3	0.3			5.0	1000032478	true
123	54000	20000	1.5	1.0	0	0	false	0	0				Idle	Stun_Fire	Bone09	Bip01 Spine						Bone09	cerberos_L	false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.21	0.22	0.28	0.43	0.46	0.59	1.0	0.0	0.0	0.3	0.3			5.0	1000032479	true
124	50000	10000	1.0	1.0	0	0	false	125	30114				Idle									Bip01 L UpperArm 	Left_Arm	false	Bip01 L Forearm	Left_Arm	false	Bip01 L Hand	Left_Arm	false	Bip01 L Finger0	Left_Arm	false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.21	0.22	0.28	0.43	0.46	0.59	1.0	0.0	0.0	0.3	0.3			5.0	1000032480	false
125	50000	10000	1.0	1.0	0	0	false	124	30115				Idle									Bip01 R UpperArm	Right_Arm	false	Bip01 R Forearm	Right_Arm	false	Bip01 R Hand	Right_Arm	false	Bip01 R Finger0	Right_Arm	false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.21	0.22	0.28	0.43	0.46	0.59	1.0	0.0	0.0	0.3	0.3			5.0	1000032481	false
126	2080000	20000	1.5	1.0	0	0	false	0	0				Idle	Stun_Ice	Bone13	Bip01 Spine						Bone13	cerberos_R	false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.21	0.22	0.28	0.43	0.46	0.59	1.0	0.0	0.0	0.3	0.3			5.0	1000032477	true
127	2080000	20000	1.5	1.0	0	0	false	0	0				Idle	Stun_Dark	Bip01 Head	Bip01 Spine						Bip01 Head	cerberos_C	false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.21	0.22	0.28	0.43	0.46	0.59	1.0	0.0	0.0	0.3	0.3			5.0	1000032478	true
128	2080000	20000	1.5	1.0	0	0	false	0	0				Idle	Stun_Fire	Bone09	Bip01 Spine						Bone09	cerberos_L	false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.21	0.22	0.28	0.43	0.46	0.59	1.0	0.0	0.0	0.3	0.3			5.0	1000032479	true
129	2500000	10000	1.0	1.0	0	0	false	129	30114				Idle									Bip01 L UpperArm 	Left_Arm	false	Bip01 L Forearm	Left_Arm	false	Bip01 L Hand	Left_Arm	false	Bip01 L Finger0	Left_Arm	false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.21	0.22	0.28	0.43	0.46	0.59	1.0	0.0	0.0	0.3	0.3			5.0	1000032480	false
130	2500000	10000	1.0	1.0	0	0	false	130	30115				Idle									Bip01 R UpperArm	Right_Arm	false	Bip01 R Forearm	Right_Arm	false	Bip01 R Hand	Right_Arm	false	Bip01 R Finger0	Right_Arm	false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.21	0.22	0.28	0.43	0.46	0.59	1.0	0.0	0.0	0.3	0.3			5.0	1000032481	false
131	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
132	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
133	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
134	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
135	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
136	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
137	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
138	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
139	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
140	80000	6000	1.0	1.0	0	0	false	0	0				Idle	Stun	Bone03	~Dummy01						Bone03	Object03	true			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.21	0.22	0.28	0.43	0.46	0.59	1.0	0.0	0.0	0.3	0.3			5.0	1000032482	true
141	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
142	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
143	150000	4000	1.0	1.0	0	0	false	0	30463				Idle		Bone03	~Dummy01						Bone03	Object03	true			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.43	0.46	0.58	0.63	0.65	0.74	0.9	0.3	0.3	0.3	0.3	144;145;146;147	0;0;0;0	5.0	1000032482	true
144	20000	60000	1.0	1.0	0	0	false	0	0				Idle		Bone_Jaw01	~Dummy01						Bone_Jaw01	Jaw01	true			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.43	0.46	0.58	0.63	0.65	0.74	0.9	0.3	0.3	0.3	0.3			5.0	1000032483	false
145	40000	60000	1.0	1.0	0	0	false	0	0				Idle		Bone_Jaw02	~Dummy01						Bone_Jaw02	Jaw02	true			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.43	0.46	0.58	0.63	0.65	0.74	0.9	0.3	0.3	0.3	0.3			5.0	1000032950	true
146	40000	60000	1.0	1.0	0	0	false	0	0				Idle		Bone_Jaw03	~Dummy01						Bone_Jaw03	Jaw03	true			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.43	0.46	0.58	0.63	0.65	0.74	0.9	0.3	0.3	0.3	0.3			5.0	1000032951	true
147	20000	60000	1.0	1.0	0	0	false	0	0				Idle		Bone_Jaw04	~Dummy01						Bone_Jaw04	Jaw04	true			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.43	0.46	0.58	0.63	0.65	0.74	0.9	0.3	0.3	0.3	0.3			5.0	1000032483	false
148	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
149	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
150	10000	7000	1.0	1.0	0	0	false	0	30595				Idle	Stun	Bip01 Head	~MainDummy						Bip01 Head	Object02	true			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.46	0.46	0.46	0.46	0.46	0.46	1.0	0.0	0.0	0.4	0.3	151	0	4.0	1000036378	false
151	5000000	7000	1.0	1.0	0	0	false	0	30594				Idle	Destroy_Tail	Bone08	~MainDummy						Bone08	Object01	true	Bone09	Object01	true	Bone10	Object01	true			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.46	0.46	0.46	0.46	0.46	0.46	1.0	0.0	0.0	0.4	0.3			4.0	2233	false
152	1000	7000	1.0	1.0	0	0	false	0	30595				Idle	Stun	Bip01 Head	~MainDummy						Bip01 Head	Object02	true			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.46	0.46	0.46	0.46	0.46	0.46	1.0	0.0	0.0	0.4	0.3	151	0	4.0	1000036378	false
