ROWID	_ToolTip|INTEGER	_Grade|INTEGER	_OutputType|INTEGER	_MapID|TEXT	_Level|TEXT	_Image|TEXT
2048	1302048	1	0	0	1;10	0
2050	1302050	2	0	0	11;23	0
2051	1302051	0	0	0	0	0
2052	1302052	0	0	0	0	0
2099	1301040	0	0	0	0	0
2100	1301041	0	0	0	0	0
2101	1301042	0	0	0	0	0
2102	1000152199	0	0	0	0	0
2103	1301044	0	0	0	0	0
2104	1301045	0	0	0	0	0
2105	1000035948	0	0	0	0	0
2107	1000047654	0	0	0	0	0
2108	1000047655	0	0	0	0	0
2109	1000047656	0	0	0	0	0
2111	1000047658	3	0	0	24;100	0
2113	1000047660	3	0	0	24;100	0
2115	1000056803	0	1	13625	0	0
2116	1000056931	0	0		0	0
2117	1000056932	0	0		0	0
2118	1000056933	0	0		0	0
2121	1000056936	3	0		24;100	0
2122	1000152200	0	0		0	0
2123	1000152201	0	0		0	0
2124	1000057283	0	0		0	0
2128	1000057287	0	0		0	0
2129	1000057288	0	0		0	0
2131	1000057290	0	0		0	0
2132	1000057291	0	0		0	0
2133	1000057292	0	0		0	0
2134	1000057293	0	0		0	0
2136	1000057295	0	0		0	0
2143	1000057302	0	0		0	0
2144	1000152202	0	0		0	0
2145	1000057304	0	0		0	0
2148	1000059630	0	0		60;100	0
2149	1000059631	0	0		60;100	0
2150	1000059632	0	0		0	0
2151	1000059633	0	0		0	0
3001	1303001	1	0	0	1;10	0
3002	1303002	1	0	0	1;10	0
3003	1303003	1	0	0	1;10	0
3004	1303004	1	0	0	1;10	0
3005	1303005	1	0	0	1;10	0
3006	1303006	1	0	0	1;10	0
3007	1303007	1	0	0	1;10	0
3008	1303008	1	0	0	1;10	0
3009	1303009	1	0	0	1;10	0
3011	1303011	1	0	0	1;10	0
3013	1303013	2	0	0	11;23	0
3015	1303015	2	0	0	11;23	0
3017	1303017	2	0	0	11;23	0
3019	1303019	2	0	0	11;23	0
3020	1303020	2	0	0	11;23	0
3021	1303021	2	0	0	11;23	0
3022	1303022	1	0	0	1;10	0
3023	1303023	1	0	0	1;10	0
3024	1303024	1	0	0	1;10	0
3025	1303025	1	0	0	1;10	0
3026	1303026	1	0	0	1;10	0
3027	1303027	1	0	0	1;10	0
3028	1303028	1	0	0	1;10	0
3029	1303029	1	0	0	1;10	0
3030	1303030	1	0	0	1;10	0
3031	1303031	1	0	0	1;10	0
3032	1303032	1	0	0	1;10	0
3033	1303033	1	0	0	1;10	0
3034	1303034	1	0	0	1;10	0
3035	1303035	1	0	0	1;10	0
3036	1303036	1	0	0	1;10	0
3037	1303037	1	0	0	1;10	0
3038	1000152203	1	0	0	1;10	0
3060	1000065144	0	1	13630	0	0
3061	1000065145	0	1	13630	0	0
3062	1000065146	0	1	13630	0	0
3063	1000065147	0	1	13630	0	0
3064	1000065148	0	1	13630	0	0
3065	1000065149	0	1	13630	0	0
3066	1000065150	0	1	13630	0	0
3067	1000065151	0	1	13630	0	0
3068	1000065152	0	1	13630	0	0
3069	1000065153	0	1	13630	0	0
3070	1000065707	0	1	13630	0	0
5001	1000046261	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5002	1000046262	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5003	1000046263	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5004	1000046264	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5005	1000046265	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5006	1000046266	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5007	1000046334	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5008	1000046335	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5009	1000046336	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5010	1000046337	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5011	1000046338	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5012	1000046272	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5013	1000046273	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5014	1000046274	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5015	1000046275	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5016	1000046339	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5017	1000046277	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5018	1000046278	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5019	1000046279	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5020	1000046280	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5021	1000046281	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5022	1000046282	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5023	1000046340	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5024	1000046341	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5025	1000046285	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5026	1000046286	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5027	1000046287	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5028	1000046342	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5029	1000046289	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5030	1000046290	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5031	1000046291	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5032	1000046292	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5033	1000046293	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5034	1000059634	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5035	1000059635	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5036	1000059636	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5037	1000059637	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5038	1000059638	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5039	1000059639	0	1	10001;10003;10006;10007;10008;10009;10010;10011;10012;10015;10017;10020;10021;10040;16001;11001;10051	0	0
5041	1000075576	0	1	15180;15181;15182;15183;15185;15186;15187;15191;15192;15193;15195;15196;15197;15198	0	0
5042	1000075577	0	1	15180;15181;15182;15183;15185;15186;15187;15191;15192;15193;15195;15196;15197;15198	0	0
5043	1000075578	0	1	15180;15181;15182;15183;15185;15186;15187;15191;15192;15193;15195;15196;15197;15198	0	0
5044	1000075579	0	1	15180;15181;15182;15183;15185;15186;15187;15191;15192;15193;15195;15196;15197;15198	0	0
5045	1000075580	0	1	15180;15181;15182;15183;15185;15186;15187;15191;15192;15193;15195;15196;15197;15198	0	0
5048	1000075583	0	1	15180;15181;15182;15183;15185;15186;15187;15191;15192;15193;15195;15196;15197;15198	0	0
5049	1000161645	0	1	10024;10030	0	0
5050	1000161646	0	1	10024;10030	0	0
5051	1000161647	0	1	10024;10030	0	0
5052	1000161648	0	1	10024;10030	0	0
5053	1000161649	0	1	10024;10030	0	0
5054	1000161650	0	1	10024;10030	0	0
5055	1000161651	0	1	10024;10030	0	0
5056	1000161652	0	1	10024;10030	0	0
5057	1000161653	0	1	10024;10030	0	0
5058	1000161654	0	1	10024;10030	0	0
5059	1000161655	0	1	10024;10030	0	0
5060	1000161656	0	1	10024;10030	0	0
5061	1000161657	0	1	10024;10030	0	0
5062	1000161658	0	1	10024;10030	0	0
5063	1000161659	0	1	10024;10030	0	0
5064	1000161660	0	1	10024;10030	0	0
5065	1000161661	0	1	10024;10030	0	0
5066	1000161662	0	1	10024;10030	0	0
5067	1000161663	0	1	10024;10030	0	0
5068	1000161664	0	1	10024;10030	0	0
5069	1000161665	0	1	10024;10030	0	0
5070	1000161666	0	1	10024;10030	0	0
5071	1000161667	0	1	10024;10030	0	0
5074	1000161805	0	1	10024;10030	0	0
5149	1000097333	0	0		0	Loading_SaintHaven_New_Tip.dds
5450	1000097334	0	0		0	Loading_SaintHaven_New_Tip.dds
5451	1000097335	0	0		0	Loading_SaintHaven_New_Tip.dds
5473	1000099902	0	0		0	Tip_Warp.dds
5474	1000099923	0	0	0	0	0
5475	1000099924	0	0	0	0	0
5476	1000099925	0	0	0	0	0
5477	1000099926	0	0	0	0	0
5478	1000099927	0	0	0	0	0
5481	1000128294	0	0	0	90;95	0
5483	1000101926	0	0	0	1;89	Tip_Blacksmith.dds
5484	1000152204	3	0	0	95	Tip_Blacksmith.dds
5485	1000101928	0	0	0	80;90	Tip_Blacksmith.dds
5487	1000101930	3	0	0	24;100	Tip_ItemDisjoint.dds
5488	1000103088	3	0	0	60;100	Tip_Plate.dds
5489	1000101932	3	0	0	24;100	Tip_Jewel.dds
5492	1000152205	3	0	0	24;100	Tip_Store02.dds
5494	1000152206	3	0	0	24;100	Tip_Blacksmith.dds
5495	1000101938	3	0	0	24;80	Tip_Themepark01.dds
5496	1000152207	3	0	0	24;100	tip_storage.dds
5497	1000101940	3	0	0	24;100	Tip_Market.dds
5498	1000152208	3	0	0	24;80	Tip_Mercenary.dds
5499	1000101942	3	0	0	1;40	Tip_present.dds
5500	1000101943	3	0	0	80;100	Tip_farm.dds
5501	1000101944	3	0	0	80;100	Tip_colo.dds
5503	1000137741	3	0	0	80;100	
5506	1000101949	0	0	0	0	Tip_mission.dds
5508	1000108523	3	0	0	80;100	Loading_PvE_TrainingMode.dds
5509	1000108590	0	0	0	0	0
5510	1000108591	0	0	0	0	0
5511	1000108592	0	0	0	0	0
5530	1000167664	0	1	19658	0	0
5531	1000167665	0	1	19658	0	0
5532	1000167666	0	1	19658	0	0
5533	1000167667	0	1	19658	0	0
5534	1000167668	0	1	19658	0	0
5535	1000167669	0	1	19658	0	0
5536	1000167670	0	1	19658	0	0
