ROWID	_Grade|INTEGER	_ReflashTime|INTEGER	_CheckType|INTEGER	_ReflashItemID1|INTEGER	_ReflashItemAmount1|INTEGER	_ReflashItemID2|INTEGER	_ReflashItemAmount2|INTEGER	_ReflashItemID3|INTEGER	_ReflashItemAmount3|INTEGER	_ReflashItemID4|INTEGER	_ReflashItemAmount4|INTEGER	_ReflashItemID5|INTEGER	_ReflashItemAmount5|INTEGER	_ReflashPointID|INTEGER	_ReflashPointAmount|INTEGER
48	4	16	0	0	0	0	0	0	0	0	0	0	0	30	4000
49	4	18	0	0	0	0	0	0	0	0	0	0	0	30	4500
50	4	20	0	0	0	0	0	0	0	0	0	0	0	30	5000
51	5	2	0	0	0	0	0	0	0	0	0	0	0	30	500
52	5	4	0	0	0	0	0	0	0	0	0	0	0	30	1000
53	5	6	0	0	0	0	0	0	0	0	0	0	0	30	1500
54	5	8	0	0	0	0	0	0	0	0	0	0	0	30	2000
55	5	10	0	0	0	0	0	0	0	0	0	0	0	30	2500
56	5	12	0	0	0	0	0	0	0	0	0	0	0	30	3000
57	5	14	0	0	0	0	0	0	0	0	0	0	0	30	3500
58	5	16	0	0	0	0	0	0	0	0	0	0	0	30	4000
59	5	18	0	0	0	0	0	0	0	0	0	0	0	30	4500
60	5	20	0	0	0	0	0	0	0	0	0	0	0	30	5000
61	20	3	1	268466748	1	348251137	1	0	0	0	0	0	0	4	5
62	20	5	0	268456677	1	268477020	1	0	0	0	0	0	0	0	0
63	20	10	0	536875950	20	0	0	0	0	0	0	0	0	0	0
64	20	2	0	268476918	1	268456674	999	536875950	1	268456677	1	268477020	999	2	30
65	20	7	0	0	0	0	0	0	0	0	0	0	0	2	100
66	20	1	0	268466748	10	0	0	0	0	0	0	0	0	0	0
67	20	3	0	268466748	30	0	0	0	0	0	0	0	0	0	0
68	20	5	0	268466748	50	0	0	0	0	0	0	0	0	0	0
69	20	3	0	0	0	0	0	0	0	0	0	0	0	13	30
70	20	7	0	0	0	0	0	0	0	0	0	0	0	13	50
71	20	10	0	0	0	0	0	0	0	0	0	0	0	13	100
72	20	5	1	268456674	10	536875950	1	0	0	0	0	0	0	16	5
73	20	10	0	268456674	20	536875950	3	0	0	0	0	0	0	16	10
74	20	15	1	268456674	30	536875950	6	0	0	0	0	0	0	16	10
75	20	3	0	268466748	1	268456674	6	536875950	1	268456677	1	268477020	1	15	1
76	20	5	0	348251649	1	268456674	999	536875950	999	268456677	1	268477020	1	30	100
77	20	10	1	348251649	1	268476918	999	536875950	999	268456677	1	268477020	1	31	10
78	20	15	0	268476918	1	268456674	6	536875950	1	268456677	1	268477020	999	0	0
79	20	20	0	348251649	1	268456674	6	536875950	999	268456677	1	268477020	999	2	30
80	20	25	0	536875950	1	268456674	999	268456677	999	0	0	0	0	2	10
81	20	30	0	348251137	1	268456674	999	536875950	1	268456677	1	268477020	1	4	5
82	20	35	0	268466748	1	268456674	6	536875950	1	268456677	999	268477020	1	4	10
83	20	40	0	268466748	1	268456674	6	536875950	999	268456677	999	268477020	1	12	1
84	20	3	1	348251137	1	268456674	6	536875950	999	268456677	999	268477020	1	13	10
85	20	5	0	268477020	1	0	0	0	0	0	0	0	0	0	0
86	20	10	1	0	0	0	0	0	0	0	0	0	0	2	30
87	20	15	0	0	0	0	0	0	0	0	0	0	0	2	10
88	20	20	0	0	0	0	0	0	0	0	0	0	0	4	5
89	20	25	1	0	0	0	0	0	0	0	0	0	0	4	10
90	20	30	0	0	0	0	0	0	0	0	0	0	0	12	1
91	20	3	0	0	0	0	0	0	0	0	0	0	0	13	10
92	20	5	1	0	0	0	0	0	0	0	0	0	0	14	10
93	20	10	0	0	0	0	0	0	0	0	0	0	0	29	10
94	20	15	0	0	0	0	0	0	0	0	0	0	0	16	5
95	20	20	0	0	0	0	0	0	0	0	0	0	0	1	1
96	20	25	0	0	0	0	0	0	0	0	0	0	0	8	1
97	20	30	1	0	0	0	0	0	0	0	0	0	0	15	1
98	20	35	0	0	0	0	0	0	0	0	0	0	0	30	100
99	20	1	0	0	0	0	0	0	0	0	0	0	0	31	10
100	20	3	0	268477020	1	0	0	0	0	0	0	0	0	0	0
101	20	5	0	268466748	2	0	0	0	0	0	0	0	0	2	30
102	20	6	0	268456674	6	0	0	0	0	0	0	0	0	2	10
103	20	7	0	0	0	0	0	0	0	0	0	0	0	4	5
104	20	10	1	0	0	0	0	0	0	0	0	0	0	4	10
105	20	12	0	0	0	0	0	0	0	0	0	0	0	12	1
106	20	13	0	0	0	0	0	0	0	0	0	0	0	13	10
107	20	15	0	536875950	1	268456674	2	0	0	0	0	0	0	13	10
108	6	2	0	0	0	0	0	0	0	0	0	0	0	30	500
109	6	4	0	0	0	0	0	0	0	0	0	0	0	30	1000
110	6	6	0	0	0	0	0	0	0	0	0	0	0	30	1500
111	6	8	0	0	0	0	0	0	0	0	0	0	0	30	2000
112	6	10	0	0	0	0	0	0	0	0	0	0	0	30	2500
113	6	12	0	0	0	0	0	0	0	0	0	0	0	30	3000
114	6	14	0	0	0	0	0	0	0	0	0	0	0	30	3500
115	6	16	0	0	0	0	0	0	0	0	0	0	0	30	4000
116	6	18	0	0	0	0	0	0	0	0	0	0	0	30	4500
117	6	20	0	0	0	0	0	0	0	0	0	0	0	30	5000
118	7	2	0	0	0	0	0	0	0	0	0	0	0	30	500
119	7	4	0	0	0	0	0	0	0	0	0	0	0	30	1000
120	7	6	0	0	0	0	0	0	0	0	0	0	0	30	1500
121	7	8	0	0	0	0	0	0	0	0	0	0	0	30	2000
122	7	10	0	0	0	0	0	0	0	0	0	0	0	30	2500
123	7	12	0	0	0	0	0	0	0	0	0	0	0	30	3000
124	7	14	0	0	0	0	0	0	0	0	0	0	0	30	3500
125	7	16	0	0	0	0	0	0	0	0	0	0	0	30	4000
126	7	18	0	0	0	0	0	0	0	0	0	0	0	30	4500
127	7	20	0	0	0	0	0	0	0	0	0	0	0	30	5000
128	8	2	0	0	0	0	0	0	0	0	0	0	0	30	500
129	8	4	0	0	0	0	0	0	0	0	0	0	0	30	1000
130	8	6	0	0	0	0	0	0	0	0	0	0	0	30	1500
131	8	8	0	0	0	0	0	0	0	0	0	0	0	30	2000
132	8	10	0	0	0	0	0	0	0	0	0	0	0	30	2500
133	8	12	0	0	0	0	0	0	0	0	0	0	0	30	3000
134	8	14	0	0	0	0	0	0	0	0	0	0	0	30	3500
135	8	16	0	0	0	0	0	0	0	0	0	0	0	30	4000
136	8	18	0	0	0	0	0	0	0	0	0	0	0	30	4500
137	8	20	0	0	0	0	0	0	0	0	0	0	0	30	5000
138	9	2	0	0	0	0	0	0	0	0	0	0	0	30	500
139	9	4	0	0	0	0	0	0	0	0	0	0	0	30	1000
140	9	6	0	0	0	0	0	0	0	0	0	0	0	30	1500
141	9	8	0	0	0	0	0	0	0	0	0	0	0	30	2000
142	9	10	0	0	0	0	0	0	0	0	0	0	0	30	2500
143	9	12	0	0	0	0	0	0	0	0	0	0	0	30	3000
144	9	14	0	0	0	0	0	0	0	0	0	0	0	30	3500
145	9	16	0	0	0	0	0	0	0	0	0	0	0	30	4000
146	9	18	0	0	0	0	0	0	0	0	0	0	0	30	4500
147	9	20	0	0	0	0	0	0	0	0	0	0	0	30	5000
148	10	2	0	0	0	0	0	0	0	0	0	0	0	30	500
149	10	4	0	0	0	0	0	0	0	0	0	0	0	30	1000
150	10	6	0	0	0	0	0	0	0	0	0	0	0	30	1500
151	10	8	0	0	0	0	0	0	0	0	0	0	0	30	2000
152	10	10	0	0	0	0	0	0	0	0	0	0	0	30	2500
153	10	12	0	0	0	0	0	0	0	0	0	0	0	30	3000
154	10	14	0	0	0	0	0	0	0	0	0	0	0	30	3500
155	10	16	0	0	0	0	0	0	0	0	0	0	0	30	4000
156	10	18	0	0	0	0	0	0	0	0	0	0	0	30	4500
157	10	20	0	0	0	0	0	0	0	0	0	0	0	30	5000
158	11	2	0	0	0	0	0	0	0	0	0	0	0	30	500
159	11	4	0	0	0	0	0	0	0	0	0	0	0	30	1000
160	11	6	0	0	0	0	0	0	0	0	0	0	0	30	1500
161	11	8	0	0	0	0	0	0	0	0	0	0	0	30	2000
162	11	10	0	0	0	0	0	0	0	0	0	0	0	30	2500
163	11	12	0	0	0	0	0	0	0	0	0	0	0	30	3000
164	11	14	0	0	0	0	0	0	0	0	0	0	0	30	3500
165	11	16	0	0	0	0	0	0	0	0	0	0	0	30	4000
166	11	18	0	0	0	0	0	0	0	0	0	0	0	30	4500
167	11	20	0	0	0	0	0	0	0	0	0	0	0	30	5000
168	12	2	0	0	0	0	0	0	0	0	0	0	0	30	500
169	12	4	0	0	0	0	0	0	0	0	0	0	0	30	1000
170	12	6	0	0	0	0	0	0	0	0	0	0	0	30	1500
171	12	8	0	0	0	0	0	0	0	0	0	0	0	30	2000
172	12	10	0	0	0	0	0	0	0	0	0	0	0	30	2500
173	12	12	0	0	0	0	0	0	0	0	0	0	0	30	3000
174	12	14	0	0	0	0	0	0	0	0	0	0	0	30	3500
175	12	16	0	0	0	0	0	0	0	0	0	0	0	30	4000
176	12	18	0	0	0	0	0	0	0	0	0	0	0	30	4500
177	12	20	0	0	0	0	0	0	0	0	0	0	0	30	5000
