ROWID	_JobID|INTEGER	_Mode|INTEGER	_PhysicalAttackMinRevision|INTEGER	_PhysicalAttackMaxRevision|INTEGER	_MagicAttackMinRevision|INTEGER	_MagicAttackMaxRevision|INTEGER	_PhysicalDefenseRevision|INTEGER	_MagicDefenseRevision|INTEGER	_MaxHPRevision|INTEGER	_MaxSPRevision|INTEGER	_RecoverySPRevision|INTEGER	_StiffRevision|INTEGER	_StiffResistanceRevision|INTEGER	_CriticalRevision|INTEGER	_CriticalResistanceRevision|INTEGER	_StunRevision|INTEGER	_StunResistanceRevision|INTEGER	_SuperAmmorRevision|INTEGER	_MoveSpeedRevision|INTEGER	_FinalDamageRevision|INTEGER	_ElementAttackRevision|DOUBLE	_ElementDefenseRevision|DOUBLE	_StrengthRevision|INTEGER	_AgilityRevision|INTEGER	_IntelligenceRevision|INTEGER	_StaminaRevision|INTEGER	_BaseLevel|INTEGER	_CriticalDamageRevision|INTEGER	_PVPAttackPowerRevision|INTEGER	_PVPDefencePowerRevision|INTEGER
38	38	1	1485	1816	2084	2547	6975	14043	88920	38220	155	755	888	3388	4263	740	1560	100	300	0	0.0	0.0	296	406	546	312	80	3388	0	0
39	39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
40	40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
41	41	1	1816	2220	1308	1598	10362	10024	127994	27300	136	2922	1638	1247	1312	3896	2495	100	300	0	0.0	0.0	546	125	390	499	80	1247	0	0
42	42	1	1623	1984	1618	1978	10347	10075	120042	32760	136	2843	1545	1191	1144	3818	2340	100	300	0	0.0	0.0	515	109	468	468	80	1191	0	0
43	43	1	1350	1650	2304	2816	10331	10127	112090	25363	136	1879	1311	1840	1470	1092	2185	100	300	0	0.0	0.0	437	140	546	437	80	1840	0	0
44	44	1	1350	1650	2304	2816	10331	10127	112090	25363	136	1879	1311	1840	1470	1092	2185	100	300	0	0.0	0.0	437	140	546	437	80	1840	0	0
45	45	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
46	46	1	2003	2448	1983	2423	9970	13386	97812	27300	136	796	936	2779	5733	780	1560	100	300	0	0.0	0.0	312	546	390	312	80	2779	0	0
47	47	1	2003	2448	1983	2423	9970	13386	97812	27300	136	796	936	2779	5733	780	1560	100	300	0	0.0	0.0	312	546	390	312	80	2779	0	0
48	48	1	2003	2448	1983	2423	9970	13386	97812	27300	136	796	936	2779	5733	780	1560	100	300	0	0.0	0.0	312	546	390	312	80	2779	0	0
49	49	1	1897	2318	2095	2561	9970	13574	97812	38220	136	755	888	2289	4263	740	1560	100	300	0	0.0	0.0	296	406	546	312	80	2289	0	0
50	50	1	1897	2318	2095	2561	9970	13574	97812	38220	136	755	888	2289	4263	740	1560	100	300	0	0.0	0.0	296	406	546	312	80	2289	0	0
51	51	1	1897	2318	2095	2561	9970	13574	97812	38220	136	755	888	2289	4263	740	1560	100	300	0	0.0	0.0	296	406	546	312	80	2289	0	0
52	52	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
53	53	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
54	54	1	1829	2236	2095	2561	10025	13574	85272	38220	136	717	843	2124	3770	702	1870	100	300	0	0.0	0.0	281	359	546	374	80	2124	0	0
55	55	1	1812	2215	2095	2561	10040	13574	88920	38220	136	638	750	2177	3927	625	1950	100	300	0	0.0	0.0	250	374	546	390	80	2177	0	0
56	56	1	1812	2215	1676	2049	10040	13574	88920	38220	136	638	750	2177	3927	625	1950	100	300	0	0.0	0.0	250	374	546	390	80	2177	0	0
57	57	1	1779	2175	1700	2078	10025	13256	85272	19670	136	1392	1638	2124	3770	1365	1870	100	300	0	0.0	0.0	546	359	281	374	80	2124	0	0
58	58	1	1784	2180	1678	2051	10040	13218	88920	17500	136	2088	1638	2177	3927	1365	1950	100	300	0	0.0	0.0	546	374	250	390	80	2177	0	0
59	59	1	1784	2180	1678	2051	10040	13218	88920	17500	136	2088	1638	2177	3927	1365	1950	100	300	0	0.0	0.0	546	374	250	390	80	2177	0	0
60	60	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
61	61	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
62	62	1	1418	1733	1552	1896	10345	9313	78660	21420	136	1211	1425	2434	4988	1188	1380	100	300	0	0.0	0.0	370	495	292	323	80	2434	0	0
63	63	1	1424	1741	1556	1902	10349	9319	80085	21840	136	1232	1449	2465	5082	1208	1405	100	300	0	0.0	0.0	339	526	292	323	80	2465	0	0
64	64	1	1424	1741	1556	1902	10349	9319	80085	21840	136	1232	1449	2465	5082	1208	1405	100	300	0	0.0	0.0	292	448	417	323	80	2465	0	0
65	65	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
66	66	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
67	67	1	1418	1733	1552	1896	10345	9313	78660	21420	136	1211	1425	2434	4988	1188	1380	100	300	0	0.0	0.0	370	495	292	323	80	2434	0	0
68	68	1	1418	1733	1552	1896	10345	9313	78660	21420	136	1211	1425	2434	4988	1188	1380	100	300	0	0.0	0.0	370	495	292	323	80	2434	0	0
69	69	1	1418	1733	1552	1896	10345	9313	78660	21420	136	1211	1425	2434	4988	1188	1380	100	300	0	0.0	0.0	370	495	292	323	80	2434	0	0
70	70	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
71	71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
72	72	1	2400	2933	1543	1886	10643	10103	90174	27825	136	2332	1779	1743	2625	2206	2260	100	300	0	0.0	0.0	573	230	245	432	80	1743	0	0
73	73	1	2377	2905	1556	1901	10653	10118	93366	29505	136	2291	1731	1687	2457	2166	2340	100	300	0	0.0	0.0	557	214	261	448	80	1687	0	0
74	74	1	2097	2563	1760	2151	10653	10356	93366	38220	136	1536	843	1795	2782	1426	2340	100	300	0	0.0	0.0	261	245	526	448	80	1795	0	0
75	75	1	2038	2491	1895	2316	14092	10296	105592	25130	136	1931	1404	2655	3602	1712	1950	100	300	0	0.0	0.0	468	343	359	390	80	2655	0	0
76	76	1	2087	2551	1848	2258	14092	10239	105592	21840	136	2130	1638	2525	3276	1907	1950	100	300	0	0.0	0.0	546	312	312	390	80	2525	0	0
77	77	1	1448	1770	1079	1319	15219	13434	133380	16380	136	1492	984	2723	5565	1362	2340	100	300	0	0.0	0.0	328	530	234	468	80	2723	0	0
78	78	1	1448	1770	1079	1319	15246	13434	142215	16380	136	1571	1077	2506	4914	1440	2495	100	300	0	0.0	0.0	359	468	234	499	80	2506	0	0
79	79	1	1448	1770	1079	1319	15191	13434	124545	16380	136	1571	1077	2723	5565	1440	2185	100	300	0	0.0	0.0	359	530	234	437	80	2723	0	0
80	80	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
81	81	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
82	82	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
83	83	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
84	84	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
85	85	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
86	86	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
87	87	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
88	88	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
89	89	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
90	90	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
91	91	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
92	92	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
93	93	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
94	94	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
95	95	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
96	96	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
97	97	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
98	98	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
99	99	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
101	1	2	1179	1441	1111	1357	10001	6761	12870	24150	136	3247	1608	1758	3538	3148	1072	100	300	50	0.0	1.0	536	337	230	429	80	1758	0	0
102	2	2	1230	1504	820	1002	6661	7267	10110	28980	136	1149	1149	4961	5628	958	842	100	300	50	0.0	1.0	383	536	276	337	80	4961	0	0
103	3	2	925	1131	1297	1585	4646	9355	9180	56385	155	873	873	3360	4179	728	765	100	300	50	0.0	1.0	291	398	537	306	80	3360	0	0
104	4	2	885	1081	955	1168	9416	9108	13230	46293	136	2508	1608	1780	1292	1340	1225	100	300	50	0.0	1.0	536	123	383	490	80	1780	0	0
105	5	2	1205	1473	1278	1561	6661	8992	10110	49875	136	735	735	2530	4988	612	842	100	300	50	0.0	1.0	245	475	475	337	80	2530	0	0
106	6	2	1212	1481	1271	1553	6643	8980	9180	48300	136	1380	1380	1939	3213	1150	765	100	300	50	0.0	1.0	460	306	460	306	80	1939	0	0
107	7	2	1266	1548	970	1185	8621	7761	8280	32130	136	1425	1425	2434	4988	1188	690	100	300	50	0.0	1.0	516	256	317	317	80	2434	0	0
108	8	2	1487	1818	977	1194	10122	9002	12870	30555	136	2710	1746	1673	2415	2178	-2146826273	100	300	50	0.0	1.0	562	210	271	409	80	1673	0	0
109	9	2	903	1104	673	822	10141	8953	13800	24150	136	1737	966	2688	5460	1347	1150	100	300	50	0.0	60.0	322	520	230	460	80	2688	0	0
110	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0.0	0.0	0	0	0	0	80	0	0	0
111	11	2	1274	1557	1184	1448	9982	6864	11700	37695	136	2272	1404	2213	3602	1712	975	100	300	50	0.0	1.0	468	343	359	390	80	2213	0	0
112	12	2	1185	1448	1113	1361	10006	6764	13110	24570	136	3277	1638	1779	3602	1586	1092	100	300	50	0.0	1.0	546	343	234	437	80	1779	0	0
113	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0.0	0.0	0	0	0	0	80	0	0	0
114	14	2	1223	1494	836	1022	6665	7296	10290	32760	136	1170	1170	4887	5408	975	858	100	300	50	0.0	1.0	390	515	312	343	80	4887	0	0
115	15	2	1245	1522	873	1067	6665	7271	10290	29505	136	1170	1170	4225	5733	975	858	100	300	50	0.0	1.0	390	546	281	343	80	4225	0	0
116	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0.0	0.0	0	0	0	0	80	0	0	0
117	17	2	928	1135	1303	1592	4650	9362	9360	57330	155	888	888	3388	4263	740	780	100	300	50	0.0	1.0	296	406	546	312	80	3388	0	0
118	18	2	928	1135	1303	1592	4650	9362	9360	57330	155	888	888	3388	4263	740	780	100	300	50	0.0	1.0	296	406	546	312	80	3388	0	0
119	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0.0	0.0	0	0	0	0	80	0	0	0
120	20	2	1032	1261	743	908	9420	9112	13473	40950	136	3437	1638	1247	1312	1948	1248	100	300	50	0.0	1.0	546	125	390	499	80	1247	0	0
121	21	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0.0	0.0	0	0	0	0	80	0	0	0
122	22	2	861	1053	994	1214	9406	9159	12636	55218	136	2304	1404	1896	1638	1170	1170	100	300	50	0.0	1.0	468	156	468	468	80	1896	0	0
123	23	2	1305	1595	1155	1411	9982	6826	11700	32760	136	2506	1638	2104	3276	1907	975	100	300	50	0.0	1.0	546	312	312	390	80	2104	0	0
124	24	2	1137	1390	1311	1602	9982	6913	11700	44205	136	2179	1311	2104	3276	1635	975	100	300	50	0.0	1.0	437	312	421	390	80	2104	0	0
125	25	2	1192	1456	1113	1361	10006	6764	13110	24570	136	3370	1731	1670	3276	3250	1092	100	300	50	0.0	1.0	577	312	234	437	80	1670	0	0
126	26	2	1192	1456	1113	1361	10006	6764	13110	24570	136	3370	1731	1670	3276	3250	1092	100	300	50	0.0	1.0	577	312	234	437	80	1670	0	0
127	27	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0.0	0.0	0	0	0	0	80	0	0	0
128	28	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0.0	0.0	0	0	0	0	80	0	0	0
129	29	2	1230	1503	836	1022	6665	7296	10290	32760	136	1077	1077	4996	5733	898	858	100	300	50	0.0	1.0	359	546	312	343	80	4996	0	0
130	30	2	947	1158	1071	1308	6665	7396	10290	45885	136	936	936	4723	4914	780	858	100	300	50	0.0	1.0	312	468	437	343	80	4723	0	0
131	31	2	1245	1522	873	1067	6665	7271	10290	29505	136	1170	1170	4225	5733	975	858	100	300	50	0.0	1.0	390	546	281	343	80	4225	0	0
132	32	2	1245	1522	873	1067	6665	7271	10290	29505	136	1170	1170	4225	5733	975	858	100	300	50	0.0	1.0	390	546	281	343	80	4225	0	0
133	33	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0.0	0.0	0	0	0	0	80	0	0	0
134	34	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0.0	0.0	0	0	0	0	80	0	0	0
135	35	2	928	1135	1303	1592	4650	9362	9360	57330	155	888	888	3388	4263	740	780	100	300	50	0.0	1.0	296	406	546	312	80	3388	0	0
136	36	2	928	1135	1303	1592	4650	9362	9360	57330	155	888	888	3388	4263	740	780	100	300	50	0.0	1.0	296	406	546	312	80	3388	0	0
137	37	2	928	1135	1303	1592	4650	9362	9360	57330	155	888	888	3388	4263	740	780	100	300	50	0.0	1.0	296	406	546	312	80	3388	0	0
138	38	2	928	1135	1303	1592	4650	9362	9360	57330	155	888	888	3388	4263	740	780	100	300	50	0.0	1.0	296	406	546	312	80	3388	0	0
139	39	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0.0	0.0	0	0	0	0	80	0	0	0
140	40	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0.0	0.0	0	0	0	0	80	0	0	0
141	41	2	1032	1261	743	908	9420	9112	13473	40950	136	3437	1638	1247	1312	3896	1248	100	300	50	0.0	1.0	546	125	390	499	80	1247	0	0
142	42	2	1014	1240	778	951	9406	9159	12636	49140	136	3344	1545	1191	1144	3818	1170	100	300	50	0.0	1.0	515	109	468	468	80	1191	0	0
143	43	2	844	1031	1029	1257	9392	9206	11799	63408	136	2211	1311	1840	1470	1092	1092	100	300	50	0.0	1.0	437	140	546	437	80	1840	0	0
144	44	2	844	1031	1029	1257	9392	9206	11799	63408	136	2211	1311	1840	1470	1092	1092	100	300	50	0.0	1.0	437	140	546	437	80	1840	0	0
145	45	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0.0	0.0	0	0	0	0	80	0	0	0
146	46	2	1252	1530	1239	1515	6646	8924	9360	40950	136	936	936	2779	5733	780	780	100	300	50	0.0	1.0	312	546	390	312	80	2779	0	0
147	47	2	1252	1530	1239	1515	6646	8924	9360	40950	136	936	936	2779	5733	780	780	100	300	50	0.0	1.0	312	546	390	312	80	2779	0	0
148	48	2	1252	1530	1239	1515	6646	8924	9360	40950	136	936	936	2779	5733	780	780	100	300	50	0.0	1.0	312	546	390	312	80	2779	0	0
149	49	2	1185	1449	1309	1600	6646	9049	9360	57330	136	888	888	2289	4263	740	780	100	300	50	0.0	1.0	296	406	546	312	80	2289	0	0
150	50	2	1185	1449	1309	1600	6646	9049	9360	57330	136	888	888	2289	4263	740	780	100	300	50	0.0	1.0	296	406	546	312	80	2289	0	0
151	51	2	1185	1449	1309	1600	6646	9049	9360	57330	136	888	888	2289	4263	740	780	100	300	50	0.0	1.0	296	406	546	312	80	2289	0	0
152	52	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0.0	0.0	0	0	0	0	80	0	0	0
153	53	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0.0	0.0	0	0	0	0	80	0	0	0
154	54	2	1143	1397	1309	1600	6684	9049	11220	57330	136	843	843	2124	3770	702	935	100	300	50	0.0	1.0	281	359	546	374	80	2124	0	0
155	55	2	1133	1384	1309	1600	6693	9049	11700	57330	136	750	750	2177	3927	625	975	100	300	50	0.0	1.0	250	374	546	390	80	2177	0	0
156	56	2	1133	1384	1309	1600	6693	9049	11700	57330	136	750	750	2177	3927	625	975	100	300	50	0.0	1.0	250	374	546	390	80	2177	0	0
157	57	2	1390	1699	1063	1299	6684	8837	11220	29505	136	1638	1638	2124	3770	1365	935	100	300	50	0.0	1.0	546	359	281	374	80	2124	0	0
158	58	2	1394	1703	1049	1282	6693	8812	11700	26250	136	2457	1638	2177	3927	1365	975	100	300	50	0.0	1.0	546	374	250	390	80	2177	0	0
159	59	2	1394	1703	1049	1282	6693	8812	11700	26250	136	2457	1638	2177	3927	1365	975	100	300	50	0.0	1.0	546	374	250	390	80	2177	0	0
160	60	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0.0	0.0	0	0	0	0	80	0	0	0
161	61	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0.0	0.0	0	0	0	0	80	0	0	0
162	62	2	1266	1548	970	1185	8621	7761	8280	32130	136	1425	1425	2434	4988	1188	690	100	300	50	0.0	1.0	370	495	292	323	80	2434	0	0
163	63	2	1272	1554	972	1189	8624	7766	8430	32760	136	1449	1449	2465	5082	1208	702	100	300	50	0.0	1.0	339	526	292	323	80	2465	0	0
164	64	2	1272	1554	972	1189	8624	7766	8430	32760	136	1449	1449	2465	5082	1208	702	100	300	50	0.0	1.0	292	448	417	323	80	2465	0	0
165	65	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0.0	0.0	0	0	0	0	80	0	0	0
166	66	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0.0	0.0	0	0	0	0	80	0	0	0
167	67	2	1266	1548	970	1185	8621	7761	8280	32130	136	1425	1425	2434	4988	1188	690	100	300	50	0.0	1.0	370	495	292	323	80	2434	0	0
168	68	2	1266	1548	970	1185	8621	7761	8280	32130	136	1425	1425	2434	4988	1188	690	100	300	50	0.0	1.0	370	495	292	323	80	2434	0	0
169	69	2	1266	1548	970	1185	8621	7761	8280	32130	136	1425	1425	2434	4988	1188	690	100	300	50	0.0	1.0	370	495	292	323	80	2434	0	0
170	70	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0.0	0.0	0	0	0	0	80	0	0	0
171	71	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0.0	0.0	0	0	0	0	80	0	0	0
172	72	2	1500	1833	965	1179	10136	8981	13560	41738	136	2743	1779	1743	2625	2206	1130	100	300	50	0.0	1.0	573	230	245	432	80	1743	0	0
173	73	2	1485	1815	972	1188	10146	8994	14040	44258	136	2695	1731	1687	2457	2166	1170	100	300	50	0.0	1.0	557	214	261	448	80	1687	0	0
174	74	2	1311	1602	1100	1344	10146	9206	14040	57330	136	1807	843	1795	2782	1426	1170	100	300	50	0.0	1.0	261	245	526	448	80	1795	0	0
